episode,reward,length,terminated,truncated,outcome
1,-78.48,83,1,0,crashed
2,-353.57,105,1,0,crashed
3,-78.63,89,1,0,crashed
4,-265.53,104,1,0,out_of_bounds
5,-119.46,120,1,0,crashed
6,-166.52,85,1,0,crashed
7,-136.03,106,1,0,crashed
8,-119.79,104,1,0,crashed
9,-341.08,90,1,0,crashed
10,-96.48,149,1,0,crashed
11,-113.22,68,1,0,crashed
12,-186.23,128,1,0,out_of_bounds
13,-357.61,121,1,0,out_of_bounds
14,-111.61,85,1,0,crashed
15,-156.38,98,1,0,crashed
16,-122.27,73,1,0,crashed
17,-121.56,83,1,0,crashed
18,-136.18,81,1,0,crashed
19,-437.77,131,1,0,crashed
20,-108.58,96,1,0,crashed
21,-112.60,122,1,0,crashed
22,-72.63,61,1,0,crashed
23,-179.45,67,1,0,crashed
24,-100.79,76,1,0,crashed
25,-102.51,77,1,0,crashed
26,-112.33,104,1,0,crashed
27,-107.41,79,1,0,crashed
28,-163.44,64,1,0,crashed
29,-132.37,83,1,0,crashed
30,-86.91,62,1,0,crashed
31,-477.61,118,1,0,out_of_bounds
32,-91.68,93,1,0,crashed
33,-215.92,70,1,0,crashed
34,-496.29,117,1,0,crashed
35,-193.44,90,1,0,crashed
36,-58.54,61,1,0,crashed
37,-62.79,70,1,0,crashed
38,-430.61,103,1,0,crashed
39,-61.05,112,1,0,crashed
40,-307.69,110,1,0,out_of_bounds
41,-111.12,98,1,0,crashed
42,-89.00,77,1,0,crashed
43,-209.54,68,1,0,crashed
44,-132.70,104,1,0,crashed
45,-97.47,65,1,0,crashed
46,-57.90,67,1,0,crashed
47,-110.74,57,1,0,crashed
48,-221.00,67,1,0,crashed
49,-107.13,65,1,0,crashed
50,-263.94,105,1,0,out_of_bounds
51,-106.73,90,1,0,crashed
52,-90.82,111,1,0,crashed
53,-99.02,66,1,0,crashed
54,-281.08,105,1,0,out_of_bounds
55,-158.92,71,1,0,crashed
56,-152.89,71,1,0,crashed
