episode,reward,length,terminated,truncated,outcome
1,-326.34,83,1,0,crashed
2,-77.34,127,1,0,crashed
3,-166.93,80,1,0,crashed
4,-151.45,78,1,0,crashed
5,-121.43,80,1,0,crashed
6,-111.95,86,1,0,crashed
7,-125.83,62,1,0,crashed
8,-308.62,102,1,0,out_of_bounds
9,-448.16,100,1,0,crashed
10,-174.66,80,1,0,crashed
11,-132.24,67,1,0,crashed
12,-144.94,129,1,0,crashed
13,-36.61,107,1,0,crashed
14,-43.73,103,1,0,crashed
15,-127.71,98,1,0,crashed
16,-156.03,106,1,0,out_of_bounds
17,-89.71,70,1,0,crashed
18,-275.95,78,1,0,crashed
19,-117.78,83,1,0,crashed
20,-139.25,78,1,0,crashed
21,-21.06,79,1,0,crashed
22,-362.22,136,1,0,crashed
23,-108.12,102,1,0,crashed
24,-79.54,73,1,0,crashed
25,-177.52,85,1,0,crashed
26,-328.24,74,1,0,crashed
27,-118.69,77,1,0,crashed
28,-154.99,77,1,0,crashed
29,-115.35,91,1,0,crashed
30,-132.38,58,1,0,crashed
31,-62.12,79,1,0,crashed
32,-326.41,82,1,0,crashed
33,-166.31,90,1,0,crashed
34,-90.96,81,1,0,crashed
35,-172.05,148,1,0,crashed
36,-96.06,69,1,0,crashed
37,-70.25,80,1,0,crashed
38,-265.39,84,1,0,crashed
39,-129.17,62,1,0,crashed
40,-72.19,92,1,0,crashed
41,-75.89,75,1,0,crashed
42,-256.76,97,1,0,crashed
43,-312.36,108,1,0,crashed
44,-185.34,80,1,0,crashed
45,-296.22,117,1,0,crashed
46,-174.64,106,1,0,crashed
47,-322.17,81,1,0,crashed
48,-116.14,71,1,0,crashed
49,-124.19,106,1,0,crashed
50,-281.23,78,1,0,crashed
51,-409.08,97,1,0,out_of_bounds
52,-27.93,101,1,0,crashed
53,-95.48,69,1,0,crashed
54,-133.02,86,1,0,crashed
55,-501.95,119,1,0,out_of_bounds
56,-400.58,84,1,0,out_of_bounds
57,-476.19,87,1,0,crashed
58,-194.38,134,1,0,crashed
59,-297.96,98,1,0,crashed
60,-117.36,64,1,0,crashed
61,-246.86,89,1,0,crashed
62,-133.29,116,1,0,crashed
63,-113.00,69,1,0,crashed
64,-132.67,84,1,0,crashed
65,-110.91,78,1,0,crashed
66,-252.91,197,1,0,crashed
67,-114.49,77,1,0,crashed
68,-328.97,95,1,0,crashed
69,-91.93,67,1,0,crashed
70,-204.22,98,1,0,crashed
71,-323.29,125,1,0,crashed
72,-282.60,91,1,0,crashed
73,-152.33,150,1,0,crashed
74,-251.15,111,1,0,out_of_bounds
75,-325.48,111,1,0,out_of_bounds
76,-120.40,96,1,0,crashed
77,-313.13,113,1,0,out_of_bounds
78,-88.40,63,1,0,crashed
79,-102.57,119,1,0,crashed
80,-445.26,85,1,0,out_of_bounds
81,-421.49,82,1,0,out_of_bounds
82,-355.49,175,1,0,crashed
83,-137.52,121,1,0,out_of_bounds
84,-527.67,102,1,0,crashed
85,-221.89,94,1,0,crashed
86,-265.44,99,1,0,out_of_bounds
87,-107.42,80,1,0,crashed
88,-92.86,79,1,0,crashed
89,-323.36,84,1,0,crashed
90,-91.89,93,1,0,crashed
91,-194.93,115,1,0,out_of_bounds
92,-175.01,82,1,0,crashed
93,-176.46,125,1,0,crashed
94,-368.08,95,1,0,crashed
95,-116.90,92,1,0,crashed
96,-164.52,92,1,0,crashed
97,-88.38,83,1,0,crashed
98,-353.76,91,1,0,out_of_bounds
99,-139.85,92,1,0,crashed
100,-266.43,92,1,0,out_of_bounds
101,-221.75,87,1,0,crashed
102,-239.35,100,1,0,out_of_bounds
103,-272.68,111,1,0,out_of_bounds
104,-105.33,100,1,0,crashed
105,-59.08,68,1,0,crashed
106,-345.39,97,1,0,crashed
107,-121.17,109,1,0,crashed
108,-118.99,134,1,0,crashed
109,-237.99,94,1,0,crashed
110,-120.84,73,1,0,crashed
111,-165.03,110,1,0,crashed
112,-254.58,123,1,0,out_of_bounds
113,-36.91,81,1,0,crashed
114,-445.83,106,1,0,out_of_bounds
115,-71.18,69,1,0,crashed
116,-399.58,104,1,0,out_of_bounds
117,-421.93,139,1,0,crashed
118,-247.01,160,1,0,crashed
119,-80.79,88,1,0,crashed
120,-224.85,81,1,0,crashed
121,-167.69,97,1,0,crashed
122,-145.40,120,1,0,crashed
123,-153.90,68,1,0,crashed
124,-336.43,98,1,0,out_of_bounds
125,-139.14,131,1,0,crashed
126,-125.64,117,1,0,crashed
127,-349.30,106,1,0,out_of_bounds
128,-107.48,98,1,0,crashed
129,-338.07,130,1,0,out_of_bounds
130,-143.91,156,1,0,crashed
131,-260.25,134,1,0,out_of_bounds
132,-96.15,75,1,0,crashed
133,-125.59,104,1,0,crashed
134,-252.00,74,1,0,crashed
135,-124.65,102,1,0,crashed
136,-131.01,138,1,0,crashed
137,-87.62,81,1,0,crashed
138,-116.55,133,1,0,crashed
139,-113.97,111,1,0,crashed
140,-102.77,92,1,0,crashed
141,-355.72,100,1,0,out_of_bounds
142,-135.95,105,1,0,crashed
143,-280.20,92,1,0,out_of_bounds
144,-89.79,122,1,0,crashed
145,-151.06,100,1,0,crashed
146,-62.12,69,1,0,crashed
147,-158.66,118,1,0,crashed
148,-211.85,99,1,0,crashed
149,-251.58,93,1,0,crashed
150,-3.02,141,1,0,crashed
151,-333.72,83,1,0,out_of_bounds
152,-107.26,68,1,0,crashed
153,-181.93,86,1,0,crashed
154,-355.80,86,1,0,out_of_bounds
155,-211.82,78,1,0,crashed
156,-65.23,92,1,0,crashed
157,-374.29,104,1,0,out_of_bounds
158,-118.02,69,1,0,crashed
159,-115.42,95,1,0,crashed
160,-113.62,89,1,0,crashed
161,-133.70,77,1,0,crashed
162,-271.29,104,1,0,crashed
163,-271.31,96,1,0,crashed
164,-140.47,133,1,0,crashed
165,-94.68,75,1,0,crashed
166,-154.26,111,1,0,crashed
167,-353.02,132,1,0,out_of_bounds
168,-328.86,109,1,0,out_of_bounds
169,-116.91,89,1,0,crashed
170,-153.58,87,1,0,crashed
171,-73.22,142,1,0,crashed
172,-268.91,90,1,0,crashed
173,-131.94,96,1,0,crashed
174,-91.89,82,1,0,crashed
175,-184.00,73,1,0,crashed
176,-194.30,116,1,0,out_of_bounds
177,-86.03,60,1,0,crashed
178,-238.14,112,1,0,out_of_bounds
179,-356.96,97,1,0,out_of_bounds
180,-95.01,78,1,0,crashed
181,-106.62,82,1,0,crashed
182,-399.87,97,1,0,crashed
183,-309.12,103,1,0,out_of_bounds
184,-189.85,109,1,0,crashed
185,-168.04,115,1,0,out_of_bounds
186,-411.84,112,1,0,out_of_bounds
187,-259.30,83,1,0,crashed
188,-71.82,67,1,0,crashed
189,-312.67,107,1,0,out_of_bounds
190,-115.58,95,1,0,crashed
191,15.95,122,1,0,crashed
192,-128.56,97,1,0,crashed
193,-140.46,96,1,0,crashed
194,-138.86,91,1,0,crashed
195,-208.41,118,1,0,crashed
196,-215.88,127,1,0,crashed
197,-297.34,142,1,0,crashed
198,-11.20,98,1,0,crashed
199,-202.69,107,1,0,crashed
200,-95.14,105,1,0,crashed
201,-243.76,111,1,0,crashed
202,-339.28,106,1,0,out_of_bounds
203,-72.84,88,1,0,crashed
204,-122.17,98,1,0,crashed
205,-69.22,102,1,0,crashed
206,-347.00,122,1,0,crashed
207,-109.62,85,1,0,crashed
208,-16.11,105,1,0,crashed
209,-228.81,104,1,0,out_of_bounds
210,-168.73,100,1,0,out_of_bounds
211,-394.57,94,1,0,out_of_bounds
212,-63.12,80,1,0,crashed
213,-53.01,59,1,0,crashed
214,-71.27,73,1,0,crashed
215,-139.09,110,1,0,crashed
216,-383.77,91,1,0,crashed
217,-202.53,79,1,0,crashed
218,-106.86,92,1,0,crashed
219,-105.91,73,1,0,crashed
220,-118.19,99,1,0,crashed
221,-302.57,158,1,0,crashed
222,-106.05,153,1,0,crashed
223,-109.14,90,1,0,crashed
224,-98.99,143,1,0,crashed
225,-309.09,113,1,0,crashed
226,-39.89,77,1,0,crashed
227,-93.33,90,1,0,crashed
228,-131.81,88,1,0,crashed
229,-93.61,64,1,0,crashed
230,-272.10,98,1,0,out_of_bounds
231,-268.66,113,1,0,crashed
232,-181.08,94,1,0,crashed
233,-383.10,104,1,0,out_of_bounds
234,-453.39,137,1,0,crashed
235,-44.58,109,1,0,crashed
236,-207.64,123,1,0,crashed
237,-133.01,102,1,0,crashed
238,-57.35,132,1,0,crashed
239,-188.56,106,1,0,crashed
240,-72.22,71,1,0,crashed
241,-45.51,64,1,0,crashed
242,-120.09,105,1,0,crashed
243,-128.75,94,1,0,crashed
244,-126.47,83,1,0,crashed
245,-105.23,82,1,0,crashed
246,-99.20,86,1,0,crashed
247,-76.96,69,1,0,crashed
248,-206.05,105,1,0,out_of_bounds
249,-70.33,90,1,0,crashed
250,-86.78,120,1,0,crashed
251,-168.30,75,1,0,crashed
252,-143.99,122,1,0,crashed
253,-236.92,179,1,0,crashed
254,-72.38,101,1,0,crashed
255,-156.11,86,1,0,crashed
256,-162.32,100,1,0,crashed
257,-268.49,203,1,0,crashed
258,-79.60,65,1,0,crashed
259,-367.24,127,1,0,out_of_bounds
260,-206.68,83,1,0,crashed
261,-95.02,93,1,0,crashed
262,-279.45,102,1,0,out_of_bounds
263,-437.11,117,1,0,out_of_bounds
264,-116.67,118,1,0,crashed
265,-212.30,111,1,0,out_of_bounds
266,-248.18,174,1,0,crashed
267,-322.95,128,1,0,out_of_bounds
268,-84.89,79,1,0,crashed
269,-27.89,89,1,0,crashed
270,-319.77,128,1,0,crashed
271,-69.80,99,1,0,crashed
272,-124.94,91,1,0,crashed
273,-209.65,80,1,0,crashed
274,-103.22,101,1,0,crashed
275,-136.96,117,1,0,crashed
276,-99.22,95,1,0,crashed
277,-199.68,64,1,0,crashed
278,-330.45,84,1,0,out_of_bounds
279,-314.59,119,1,0,out_of_bounds
280,-72.86,81,1,0,crashed
281,-493.51,99,1,0,crashed
282,23.08,82,1,0,crashed
283,-158.25,100,1,0,crashed
284,-365.17,97,1,0,out_of_bounds
285,-119.68,78,1,0,crashed
286,-99.83,104,1,0,crashed
287,-176.96,117,1,0,out_of_bounds
288,-178.11,111,1,0,crashed
289,-226.33,102,1,0,crashed
290,-115.21,89,1,0,crashed
291,-83.64,113,1,0,crashed
292,-119.75,91,1,0,crashed
293,-47.30,97,1,0,crashed
294,-385.74,121,1,0,crashed
295,-104.91,81,1,0,crashed
296,-196.67,123,1,0,out_of_bounds
297,-94.76,137,1,0,crashed
298,-61.09,80,1,0,crashed
299,-193.59,103,1,0,crashed
300,-211.02,150,1,0,out_of_bounds
301,-121.67,135,1,0,crashed
302,-106.75,75,1,0,crashed
303,-94.60,77,1,0,crashed
304,-73.01,116,1,0,crashed
305,-88.67,99,1,0,crashed
306,-77.96,79,1,0,crashed
307,-186.80,258,1,0,crashed
308,-255.30,127,1,0,crashed
309,-157.07,117,1,0,crashed
