episode,reward,length,terminated,truncated,outcome
1,-93.25,65,1,0,crashed
2,-8.43,94,1,0,crashed
3,-319.32,82,1,0,crashed
4,-181.20,102,1,0,crashed
5,-109.26,133,1,0,crashed
6,-59.14,57,1,0,crashed
7,7.26,99,1,0,crashed
8,-305.18,102,1,0,crashed
9,-120.94,87,1,0,crashed
10,-166.45,87,1,0,crashed
11,-301.55,94,1,0,out_of_bounds
12,-303.93,100,1,0,out_of_bounds
13,-431.85,86,1,0,out_of_bounds
14,-317.74,81,1,0,crashed
15,-114.98,88,1,0,crashed
16,-188.53,100,1,0,crashed
17,-215.68,105,1,0,out_of_bounds
18,-106.73,80,1,0,crashed
19,-117.61,63,1,0,crashed
20,-99.78,100,1,0,crashed
21,-133.49,83,1,0,crashed
22,-94.46,81,1,0,crashed
23,-67.89,82,1,0,crashed
24,-149.12,70,1,0,crashed
25,-81.69,71,1,0,crashed
26,-32.20,94,1,0,crashed
27,-217.62,83,1,0,crashed
28,-90.61,84,1,0,crashed
29,-277.12,91,1,0,crashed
30,-92.54,88,1,0,crashed
31,-292.81,119,1,0,out_of_bounds
32,8.70,98,1,0,crashed
33,-303.44,113,1,0,out_of_bounds
34,-266.06,128,1,0,crashed
35,-201.46,102,1,0,out_of_bounds
36,-163.31,69,1,0,crashed
37,-35.66,137,1,0,crashed
38,-381.54,126,1,0,crashed
39,-70.71,121,1,0,crashed
40,-247.78,96,1,0,crashed
41,21.22,111,1,0,crashed
42,-8.15,86,1,0,crashed
43,-51.40,78,1,0,crashed
44,-76.80,87,1,0,crashed
45,-75.13,94,1,0,crashed
46,-297.56,146,1,0,out_of_bounds
47,-90.40,77,1,0,crashed
48,-76.12,78,1,0,crashed
49,-160.77,104,1,0,crashed
50,-95.34,123,1,0,crashed
51,-72.46,150,1,0,crashed
52,-95.88,89,1,0,crashed
53,-259.51,128,1,0,out_of_bounds
54,-63.48,91,1,0,crashed
55,-98.88,92,1,0,crashed
56,-107.62,101,1,0,crashed
57,-331.13,163,1,0,crashed
58,-285.68,141,1,0,crashed
59,-91.38,84,1,0,crashed
60,-142.22,136,1,0,out_of_bounds
61,-380.12,131,1,0,crashed
62,-89.27,63,1,0,crashed
63,-67.27,115,1,0,crashed
64,-58.95,146,1,0,crashed
65,-253.18,125,1,0,out_of_bounds
66,-86.74,109,1,0,crashed
67,-102.19,85,1,0,crashed
68,-228.83,112,1,0,out_of_bounds
69,-243.58,92,1,0,crashed
70,-78.80,66,1,0,crashed
71,-264.15,123,1,0,crashed
72,-155.10,78,1,0,crashed
73,-157.66,91,1,0,crashed
74,-105.75,121,1,0,crashed
75,-41.93,83,1,0,crashed
76,-89.53,130,1,0,out_of_bounds
77,-231.65,138,1,0,out_of_bounds
78,-285.05,72,1,0,crashed
79,-277.32,97,1,0,crashed
80,-175.89,113,1,0,crashed
81,-329.72,145,1,0,crashed
82,-176.80,146,1,0,crashed
83,-83.92,76,1,0,crashed
84,-109.15,81,1,0,crashed
85,-226.15,160,1,0,crashed
86,-275.39,114,1,0,crashed
87,-119.38,148,1,0,crashed
88,-94.69,123,1,0,crashed
89,-226.43,141,1,0,out_of_bounds
90,-409.01,265,1,0,crashed
91,-211.28,127,1,0,crashed
92,-67.13,127,1,0,crashed
93,-46.55,144,1,0,crashed
94,-260.05,204,1,0,crashed
95,-196.80,101,1,0,crashed
96,-180.42,159,1,0,crashed
97,-285.61,266,1,0,out_of_bounds
98,-213.24,262,1,0,out_of_bounds
99,-73.33,289,1,0,crashed
100,-64.60,164,1,0,crashed
101,-354.23,231,1,0,crashed
102,-227.03,156,1,0,out_of_bounds
103,6.48,156,1,0,crashed
104,-250.92,166,1,0,crashed
105,-209.46,105,1,0,crashed
106,-45.74,210,1,0,crashed
107,-449.37,245,1,0,crashed
108,-214.45,95,1,0,crashed
109,-49.05,106,1,0,crashed
110,-298.37,309,1,0,crashed
111,-315.04,158,1,0,crashed
112,-118.58,175,1,0,crashed
113,-363.75,359,1,0,crashed
114,-176.43,199,1,0,out_of_bounds
115,-148.89,100,1,0,crashed
116,-358.60,204,1,0,crashed
117,-182.93,200,1,0,crashed
118,-151.19,265,1,0,crashed
119,-50.93,133,1,0,crashed
120,32.33,147,1,0,crashed
121,-95.51,191,1,0,crashed
122,-192.09,127,1,0,crashed
