episode,reward,length,terminated,truncated,outcome
1,22.63,94,1,0,crashed
2,-551.82,124,1,0,crashed
3,-530.23,97,1,0,crashed
4,-228.52,103,1,0,crashed
5,-135.80,90,1,0,crashed
6,-372.37,107,1,0,crashed
7,-95.50,67,1,0,crashed
8,-75.37,113,1,0,crashed
9,-342.23,92,1,0,out_of_bounds
10,-94.26,75,1,0,crashed
11,-360.25,77,1,0,crashed
12,-158.03,68,1,0,crashed
13,-105.58,84,1,0,crashed
14,-115.39,105,1,0,crashed
15,-257.05,86,1,0,crashed
16,-266.72,74,1,0,crashed
17,-478.27,93,1,0,out_of_bounds
18,-142.09,99,1,0,crashed
19,-181.66,124,1,0,crashed
20,-74.63,64,1,0,crashed
21,-68.26,85,1,0,crashed
22,-170.20,84,1,0,crashed
