episode,reward,length,terminated,truncated,outcome
1,-382.81,82,1,0,crashed
2,-152.20,93,1,0,crashed
3,-208.02,89,1,0,crashed
4,-106.87,79,1,0,crashed
5,-98.54,120,1,0,crashed
6,-134.87,96,1,0,crashed
7,-80.37,92,1,0,crashed
8,-85.69,61,1,0,crashed
9,-145.38,81,1,0,crashed
10,-149.96,71,1,0,crashed
11,-257.21,108,1,0,crashed
12,-145.71,79,1,0,crashed
13,-107.33,98,1,0,crashed
14,-93.08,60,1,0,crashed
15,-277.62,104,1,0,crashed
16,-139.73,117,1,0,crashed
17,-170.87,144,1,0,crashed
18,-123.26,85,1,0,crashed
19,-352.77,87,1,0,crashed
20,-207.38,144,1,0,crashed
21,56.29,1000,0,1,time_limit
22,-91.49,73,1,0,crashed
23,-64.67,68,1,0,crashed
24,-241.18,93,1,0,crashed
25,-185.24,115,1,0,out_of_bounds
26,-145.86,125,1,0,crashed
27,-339.71,119,1,0,out_of_bounds
28,-128.45,92,1,0,crashed
29,-47.29,80,1,0,crashed
30,-223.41,102,1,0,out_of_bounds
31,-310.46,95,1,0,out_of_bounds
32,-116.82,98,1,0,crashed
33,-97.84,63,1,0,crashed
34,-94.22,80,1,0,crashed
35,-110.45,92,1,0,crashed
36,-337.74,94,1,0,out_of_bounds
37,-231.04,101,1,0,crashed
38,-111.53,81,1,0,crashed
39,-94.28,97,1,0,crashed
40,-471.95,142,1,0,out_of_bounds
41,-265.25,123,1,0,out_of_bounds
42,-242.41,145,1,0,crashed
43,-186.99,157,1,0,crashed
44,-86.00,97,1,0,crashed
45,-83.71,70,1,0,crashed
46,-130.49,63,1,0,crashed
47,-251.78,115,1,0,crashed
48,-367.33,120,1,0,crashed
49,-426.84,96,1,0,out_of_bounds
50,-87.01,107,1,0,crashed
51,-233.52,158,1,0,crashed
52,-109.58,77,1,0,crashed
53,-276.23,127,1,0,crashed
54,-279.32,100,1,0,out_of_bounds
55,-80.84,87,1,0,crashed
56,-107.85,89,1,0,crashed
57,-392.45,109,1,0,out_of_bounds
58,-187.66,90,1,0,crashed
59,-227.72,149,1,0,crashed
60,-334.55,100,1,0,crashed
61,-267.71,138,1,0,crashed
62,-283.55,130,1,0,crashed
63,-107.28,119,1,0,crashed
64,-28.71,95,1,0,crashed
65,-192.26,78,1,0,crashed
66,-305.87,104,1,0,crashed
67,-315.75,123,1,0,crashed
68,-335.67,127,1,0,crashed
69,-120.31,149,1,0,crashed
70,-225.35,135,1,0,crashed
71,-179.57,106,1,0,crashed
72,-186.64,88,1,0,crashed
73,-190.15,150,1,0,crashed
74,-35.01,113,1,0,crashed
75,-232.40,121,1,0,crashed
76,-265.47,121,1,0,crashed
77,-235.31,110,1,0,crashed
78,-261.52,167,1,0,crashed
79,-36.71,99,1,0,crashed
80,-189.84,116,1,0,crashed
81,-111.71,133,1,0,crashed
82,-92.83,162,1,0,crashed
83,-162.36,151,1,0,crashed
84,-38.95,154,1,0,crashed
85,-135.02,118,1,0,crashed
86,-190.75,114,1,0,crashed
87,-162.76,137,1,0,crashed
88,-63.09,152,1,0,crashed
89,-70.76,127,1,0,crashed
90,-270.49,214,1,0,crashed
91,-106.83,90,1,0,crashed
92,-145.53,76,1,0,crashed
93,-119.46,162,1,0,crashed
94,-195.63,132,1,0,crashed
95,-107.36,129,1,0,out_of_bounds
96,-182.17,113,1,0,crashed
97,-75.27,122,1,0,crashed
98,-61.91,160,1,0,crashed
99,-276.40,115,1,0,crashed
100,-123.45,118,1,0,crashed
101,-79.36,117,1,0,crashed
102,-169.11,126,1,0,crashed
103,-165.06,124,1,0,crashed
104,-43.86,118,1,0,crashed
105,-88.24,188,1,0,crashed
106,-111.33,115,1,0,crashed
107,-155.78,110,1,0,crashed
108,-9.76,146,1,0,crashed
109,-115.01,123,1,0,crashed
110,-61.79,239,1,0,crashed
111,-189.94,112,1,0,crashed
112,-214.21,140,1,0,crashed
113,-56.95,72,1,0,crashed
114,-202.34,119,1,0,crashed
115,-97.05,145,1,0,crashed
116,-39.60,111,1,0,crashed
117,-217.06,107,1,0,crashed
118,-105.89,148,1,0,crashed
119,-156.61,315,1,0,crashed
120,-148.35,119,1,0,crashed
121,-18.87,170,1,0,crashed
122,-106.29,135,1,0,crashed
123,-122.98,181,1,0,crashed
124,-130.43,107,1,0,crashed
125,-100.50,387,1,0,crashed
126,-241.22,313,1,0,crashed
127,-146.91,130,1,0,crashed
128,-79.91,148,1,0,crashed
129,-104.29,127,1,0,crashed
130,-131.66,117,1,0,crashed
131,-7.88,139,1,0,crashed
132,47.56,164,1,0,crashed
133,-271.28,106,1,0,crashed
134,-104.41,121,1,0,crashed
135,-131.01,141,1,0,crashed
136,31.24,139,1,0,crashed
137,-86.33,200,1,0,crashed
138,-152.55,159,1,0,crashed
139,-89.03,119,1,0,crashed
140,-7.52,120,1,0,crashed
141,-200.21,181,1,0,crashed
142,-64.63,121,1,0,crashed
143,-118.12,377,1,0,crashed
144,-121.93,165,1,0,crashed
145,-141.83,150,1,0,crashed
146,-58.84,199,1,0,crashed
147,-109.04,104,1,0,crashed
148,-42.59,183,1,0,crashed
149,-69.33,117,1,0,crashed
150,27.00,194,1,0,crashed
151,-17.43,122,1,0,crashed
152,-2.38,135,1,0,crashed
153,-45.94,125,1,0,crashed
154,-166.69,165,1,0,crashed
155,-151.81,175,1,0,crashed
156,-72.30,305,1,0,crashed
157,-70.85,173,1,0,crashed
158,-43.91,144,1,0,crashed
159,51.22,262,1,0,crashed
160,-5.40,281,1,0,crashed
161,52.86,1000,0,1,time_limit
162,-154.87,149,1,0,crashed
163,-90.94,207,1,0,crashed
164,-85.81,164,1,0,crashed
165,-47.79,227,1,0,crashed
166,15.82,135,1,0,crashed
