episode,reward,length,terminated,truncated,outcome
1,-327.91,118,1,0,crashed
2,-188.99,161,1,0,crashed
3,-357.00,90,1,0,crashed
4,-311.69,116,1,0,crashed
5,-364.27,111,1,0,crashed
6,-434.15,128,1,0,crashed
7,-346.69,72,1,0,crashed
8,-420.59,74,1,0,crashed
9,-377.08,93,1,0,out_of_bounds
10,-81.23,102,1,0,crashed
11,-122.64,93,1,0,crashed
12,-318.64,99,1,0,out_of_bounds
13,-147.12,76,1,0,crashed
14,-302.69,124,1,0,crashed
15,-150.48,71,1,0,crashed
16,-431.56,101,1,0,out_of_bounds
17,-181.38,81,1,0,crashed
18,-120.67,89,1,0,crashed
19,-83.52,72,1,0,crashed
20,-182.79,105,1,0,crashed
21,-339.55,133,1,0,crashed
1,-221.04,99,1,0,crashed
2,-342.26,99,1,0,out_of_bounds
3,-219.74,71,1,0,crashed
4,-547.12,135,1,0,crashed
5,-106.14,82,1,0,crashed
6,-193.49,78,1,0,crashed
7,-79.24,107,1,0,crashed
8,-141.95,74,1,0,crashed
9,-222.53,118,1,0,crashed
10,-96.50,105,1,0,crashed
11,-88.70,109,1,0,crashed
12,-178.02,152,1,0,crashed
13,-86.50,89,1,0,crashed
14,-286.92,101,1,0,crashed
15,-72.97,98,1,0,crashed
16,-56.26,76,1,0,crashed
17,-159.44,78,1,0,crashed
18,-371.23,103,1,0,crashed
19,-335.23,91,1,0,out_of_bounds
20,-288.45,79,1,0,crashed
21,-57.35,85,1,0,crashed
22,-65.20,83,1,0,crashed
23,-329.49,83,1,0,out_of_bounds
24,-358.89,110,1,0,out_of_bounds
25,-414.21,89,1,0,out_of_bounds
26,-103.09,106,1,0,crashed
27,-246.12,128,1,0,crashed
28,-337.93,111,1,0,crashed
29,-229.96,210,1,0,crashed
30,-82.14,76,1,0,crashed
31,-265.47,137,1,0,crashed
32,-73.08,145,1,0,crashed
33,-158.77,108,1,0,crashed
34,-32.24,78,1,0,crashed
35,-377.13,103,1,0,out_of_bounds
36,-462.27,117,1,0,out_of_bounds
37,-283.77,99,1,0,out_of_bounds
38,-422.61,88,1,0,out_of_bounds
39,-401.92,84,1,0,out_of_bounds
40,-86.85,126,1,0,crashed
41,-3.55,1001,0,1,time_limit
42,-336.42,86,1,0,out_of_bounds
43,-337.73,91,1,0,out_of_bounds
44,-112.32,185,1,0,crashed
45,-109.83,115,1,0,crashed
46,-280.17,100,1,0,out_of_bounds
47,-221.83,97,1,0,crashed
48,-142.67,89,1,0,crashed
49,-280.13,94,1,0,out_of_bounds
50,-323.29,131,1,0,out_of_bounds
51,-220.25,100,1,0,crashed
52,-328.48,126,1,0,out_of_bounds
53,-226.74,96,1,0,crashed
54,-574.37,151,1,0,out_of_bounds
55,-44.13,73,1,0,crashed
56,-405.43,87,1,0,out_of_bounds
57,-183.89,127,1,0,out_of_bounds
58,-170.04,89,1,0,crashed
59,-89.73,86,1,0,crashed
60,-651.60,132,1,0,out_of_bounds
61,-322.19,88,1,0,out_of_bounds
62,-176.44,165,1,0,crashed
63,-475.97,112,1,0,crashed
64,-342.92,101,1,0,out_of_bounds
65,-552.05,145,1,0,crashed
66,-356.84,117,1,0,out_of_bounds
67,-103.01,164,1,0,crashed
68,-184.63,101,1,0,crashed
69,-113.21,87,1,0,crashed
70,-167.96,77,1,0,crashed
71,-323.48,191,1,0,crashed
72,-97.04,126,1,0,crashed
73,-371.84,108,1,0,crashed
74,-41.72,136,1,0,crashed
75,-88.00,87,1,0,crashed
76,-57.80,116,1,0,crashed
77,-414.47,121,1,0,out_of_bounds
78,-426.36,82,1,0,out_of_bounds
79,-369.72,99,1,0,out_of_bounds
80,-599.16,144,1,0,crashed
81,-305.92,160,1,0,crashed
82,-303.81,161,1,0,crashed
83,-192.96,142,1,0,out_of_bounds
84,-210.02,107,1,0,out_of_bounds
85,-55.86,83,1,0,crashed
86,-143.76,109,1,0,crashed
87,-463.24,155,1,0,crashed
88,-136.67,108,1,0,crashed
89,-321.01,132,1,0,out_of_bounds
90,-313.03,185,1,0,out_of_bounds
91,-15.70,77,1,0,crashed
92,-321.59,107,1,0,out_of_bounds
93,-251.96,225,1,0,crashed
94,-397.18,159,1,0,crashed
95,-220.97,191,1,0,out_of_bounds
96,-319.89,101,1,0,out_of_bounds
97,-305.58,107,1,0,crashed
98,-271.96,110,1,0,crashed
99,-328.13,103,1,0,out_of_bounds
100,-430.13,181,1,0,crashed
101,-378.91,86,1,0,out_of_bounds
102,-253.64,103,1,0,crashed
103,-205.70,134,1,0,crashed
104,-154.06,100,1,0,crashed
105,-319.48,230,1,0,out_of_bounds
106,-45.78,86,1,0,crashed
107,-253.43,161,1,0,crashed
108,-250.37,104,1,0,out_of_bounds
109,-231.49,142,1,0,out_of_bounds
110,-289.26,123,1,0,out_of_bounds
111,-248.62,115,1,0,crashed
112,-112.24,76,1,0,crashed
113,-421.68,108,1,0,out_of_bounds
114,-322.42,92,1,0,out_of_bounds
115,-153.98,113,1,0,out_of_bounds
116,-448.03,101,1,0,crashed
1,-35.27,74,1,0,crashed
2,-292.66,256,1,0,crashed
3,-261.77,141,1,0,crashed
4,-257.54,95,1,0,crashed
5,-254.40,132,1,0,crashed
6,-97.18,154,1,0,crashed
7,-298.17,91,1,0,crashed
8,-417.70,118,1,0,out_of_bounds
9,-360.67,109,1,0,crashed
10,-403.02,204,1,0,crashed
11,-278.10,163,1,0,out_of_bounds
12,-513.80,117,1,0,out_of_bounds
13,-472.71,155,1,0,crashed
14,-484.86,95,1,0,out_of_bounds
15,-137.37,119,1,0,crashed
16,-420.45,82,1,0,crashed
17,-124.39,92,1,0,crashed
18,-344.82,95,1,0,out_of_bounds
19,-12.84,85,1,0,crashed
20,-465.08,125,1,0,crashed
21,-428.07,136,1,0,crashed
22,-141.95,87,1,0,crashed
23,-374.71,172,1,0,out_of_bounds
24,-166.81,173,1,0,crashed
25,-166.82,106,1,0,out_of_bounds
26,-162.57,136,1,0,crashed
27,-386.68,91,1,0,out_of_bounds
28,-502.14,104,1,0,out_of_bounds
29,-396.33,106,1,0,out_of_bounds
30,-132.30,154,1,0,out_of_bounds
31,-257.56,79,1,0,crashed
32,-242.84,99,1,0,out_of_bounds
33,-363.40,90,1,0,out_of_bounds
34,-386.84,92,1,0,crashed
35,-157.94,126,1,0,out_of_bounds
36,-94.21,120,1,0,crashed
37,-118.28,129,1,0,crashed
38,-215.21,129,1,0,out_of_bounds
39,-424.93,115,1,0,out_of_bounds
40,-601.57,192,1,0,out_of_bounds
41,-45.48,74,1,0,crashed
42,-280.08,189,1,0,crashed
43,-399.27,91,1,0,out_of_bounds
44,-140.52,135,1,0,crashed
45,-176.81,107,1,0,crashed
46,-397.81,79,1,0,out_of_bounds
47,-370.45,113,1,0,out_of_bounds
48,-440.09,96,1,0,out_of_bounds
49,-412.14,115,1,0,out_of_bounds
50,-115.89,92,1,0,crashed
51,-181.42,105,1,0,crashed
52,-466.49,95,1,0,out_of_bounds
53,-435.66,94,1,0,out_of_bounds
54,-383.53,130,1,0,out_of_bounds
55,-220.29,168,1,0,crashed
56,-129.55,116,1,0,crashed
57,-437.03,113,1,0,out_of_bounds
58,-389.63,90,1,0,out_of_bounds
59,-145.97,108,1,0,crashed
60,-51.88,167,1,0,crashed
61,-73.41,73,1,0,crashed
62,-51.77,81,1,0,crashed
63,-336.98,96,1,0,out_of_bounds
64,-556.02,213,1,0,crashed
65,-271.89,94,1,0,out_of_bounds
66,-107.15,102,1,0,crashed
67,-247.29,107,1,0,out_of_bounds
68,-419.66,94,1,0,out_of_bounds
69,-115.64,77,1,0,crashed
70,-133.89,79,1,0,crashed
71,-85.61,65,1,0,crashed
72,-57.27,85,1,0,crashed
73,0.88,228,1,0,crashed
74,-347.36,183,1,0,out_of_bounds
75,-337.57,93,1,0,out_of_bounds
76,-474.98,143,1,0,out_of_bounds
77,-85.88,131,1,0,crashed
78,-122.90,99,1,0,crashed
79,-38.35,123,1,0,crashed
80,-443.28,129,1,0,out_of_bounds
81,-162.35,86,1,0,crashed
82,-184.18,103,1,0,crashed
83,-53.61,102,1,0,crashed
84,-47.76,110,1,0,crashed
85,-441.46,141,1,0,out_of_bounds
86,-187.47,153,1,0,out_of_bounds
87,-300.57,154,1,0,crashed
88,-355.21,91,1,0,crashed
89,-92.98,211,1,0,crashed
90,-248.51,113,1,0,out_of_bounds
91,-90.91,82,1,0,crashed
92,-33.22,87,1,0,crashed
93,-301.12,84,1,0,crashed
94,-111.80,183,1,0,crashed
95,-384.04,160,1,0,crashed
96,-266.39,137,1,0,crashed
97,-71.12,95,1,0,crashed
98,-437.77,103,1,0,out_of_bounds
99,-115.00,142,1,0,crashed
100,-155.45,96,1,0,crashed
101,-51.30,114,1,0,crashed
102,-158.87,100,1,0,crashed
103,-63.65,188,1,0,crashed
104,-521.63,96,1,0,out_of_bounds
105,-317.38,100,1,0,out_of_bounds
106,-386.12,94,1,0,out_of_bounds
107,9.99,140,1,0,crashed
108,-60.06,125,1,0,crashed
109,-271.38,128,1,0,out_of_bounds
110,-495.79,108,1,0,out_of_bounds
111,-157.66,124,1,0,crashed
112,-276.86,92,1,0,out_of_bounds
113,-188.73,129,1,0,out_of_bounds
114,-129.05,105,1,0,out_of_bounds
115,-126.52,253,1,0,crashed
116,-170.71,145,1,0,out_of_bounds
117,-282.48,129,1,0,crashed
118,-41.24,108,1,0,crashed
119,-364.88,164,1,0,crashed
120,-63.58,135,1,0,crashed
121,-437.57,106,1,0,out_of_bounds
122,-519.26,112,1,0,out_of_bounds
123,-285.73,95,1,0,crashed
124,-149.20,115,1,0,out_of_bounds
125,-312.88,86,1,0,out_of_bounds
126,-431.46,94,1,0,out_of_bounds
127,-186.23,149,1,0,out_of_bounds
128,-405.68,86,1,0,out_of_bounds
129,-189.11,190,1,0,out_of_bounds
130,-196.67,109,1,0,out_of_bounds
131,-294.63,80,1,0,crashed
132,-71.41,71,1,0,crashed
133,-51.66,152,1,0,crashed
134,-190.26,107,1,0,out_of_bounds
135,-231.01,145,1,0,out_of_bounds
136,-244.40,131,1,0,out_of_bounds
137,-170.39,112,1,0,out_of_bounds
138,24.60,102,1,0,crashed
139,-187.15,94,1,0,out_of_bounds
140,-334.08,85,1,0,out_of_bounds
141,-127.01,210,1,0,crashed
142,-387.57,97,1,0,out_of_bounds
143,-264.16,159,1,0,crashed
144,-266.35,133,1,0,crashed
145,-402.31,149,1,0,out_of_bounds
146,-141.56,93,1,0,crashed
147,-71.02,152,1,0,crashed
148,-360.39,117,1,0,crashed
149,-218.05,94,1,0,crashed
150,-89.10,84,1,0,crashed
151,-119.14,111,1,0,crashed
152,-363.43,149,1,0,crashed
153,-85.71,135,1,0,crashed
154,-139.11,105,1,0,crashed
155,-147.97,121,1,0,crashed
156,-65.74,141,1,0,crashed
157,-115.50,91,1,0,crashed
158,-369.25,78,1,0,out_of_bounds
159,-278.02,157,1,0,out_of_bounds
160,-294.68,77,1,0,crashed
161,-413.76,111,1,0,crashed
162,-47.14,93,1,0,crashed
163,-54.89,128,1,0,crashed
164,-123.41,86,1,0,crashed
165,-68.54,118,1,0,crashed
166,-207.57,100,1,0,crashed
167,-478.01,134,1,0,crashed
168,-142.98,71,1,0,crashed
169,-121.34,78,1,0,crashed
170,-382.85,101,1,0,out_of_bounds
171,-51.85,96,1,0,crashed
172,-141.65,114,1,0,crashed
173,-34.08,88,1,0,crashed
174,-51.52,172,1,0,crashed
175,-90.32,224,1,0,crashed
176,-64.97,71,1,0,crashed
177,-183.29,116,1,0,out_of_bounds
178,-166.12,98,1,0,out_of_bounds
179,-373.48,101,1,0,out_of_bounds
180,-2.85,154,1,0,crashed
181,-218.73,109,1,0,out_of_bounds
182,-55.64,112,1,0,crashed
183,-104.23,92,1,0,crashed
184,-101.07,77,1,0,crashed
185,-10.43,179,1,0,crashed
186,-83.88,79,1,0,crashed
187,-112.39,113,1,0,crashed
188,-110.05,89,1,0,crashed
