episode,reward,length,terminated,truncated,outcome
1,-154.25,94,1,0,crashed
2,-104.46,76,1,0,crashed
3,-80.59,100,1,0,crashed
4,-319.02,132,1,0,crashed
5,-91.78,60,1,0,crashed
6,-198.58,103,1,0,out_of_bounds
7,-85.61,73,1,0,crashed
8,-109.80,99,1,0,crashed
9,-392.01,78,1,0,crashed
10,-33.23,124,1,0,crashed
11,-211.70,122,1,0,crashed
12,-245.86,86,1,0,crashed
13,-115.26,103,1,0,crashed
14,-161.86,141,1,0,crashed
15,-88.12,84,1,0,crashed
16,-286.54,86,1,0,crashed
17,-394.30,88,1,0,out_of_bounds
18,-87.87,101,1,0,crashed
19,-105.51,118,1,0,crashed
20,-243.63,112,1,0,crashed
21,-83.51,97,1,0,crashed
22,-188.45,113,1,0,crashed
23,-312.07,120,1,0,crashed
24,-112.59,117,1,0,crashed
25,-103.90,137,1,0,crashed
26,-37.43,89,1,0,crashed
27,-93.01,104,1,0,crashed
28,-189.46,132,1,0,crashed
29,-54.59,74,1,0,crashed
30,-163.56,115,1,0,crashed
31,-134.85,72,1,0,crashed
32,-235.76,132,1,0,crashed
33,-202.01,80,1,0,crashed
34,-163.79,118,1,0,crashed
35,-419.44,89,1,0,crashed
36,-20.22,107,1,0,crashed
37,-183.86,74,1,0,crashed
38,-23.79,90,1,0,crashed
39,-495.49,126,1,0,crashed
40,-366.68,129,1,0,crashed
41,-226.77,70,1,0,crashed
42,-154.64,83,1,0,crashed
43,-62.68,76,1,0,crashed
44,-76.48,112,1,0,crashed
45,-186.00,116,1,0,crashed
46,-157.07,117,1,0,crashed
47,-339.50,129,1,0,crashed
48,-123.62,109,1,0,crashed
49,-382.55,82,1,0,crashed
50,-113.67,123,1,0,crashed
51,-87.04,76,1,0,crashed
52,-127.81,92,1,0,crashed
53,-137.49,66,1,0,crashed
54,-59.27,92,1,0,crashed
55,-267.00,108,1,0,crashed
56,-282.01,133,1,0,crashed
57,-35.09,114,1,0,crashed
58,-151.69,134,1,0,crashed
59,-129.01,105,1,0,crashed
60,-87.73,82,1,0,crashed
61,-136.26,76,1,0,crashed
62,-24.92,88,1,0,crashed
63,-61.43,105,1,0,crashed
64,-225.76,78,1,0,crashed
65,-142.64,109,1,0,crashed
66,-181.26,110,1,0,crashed
67,-72.28,95,1,0,crashed
68,-109.96,116,1,0,crashed
69,-100.86,147,1,0,crashed
70,-131.96,89,1,0,crashed
71,-348.09,111,1,0,crashed
72,-118.04,125,1,0,crashed
73,-249.31,164,1,0,crashed
74,-12.52,149,1,0,crashed
75,-15.32,109,1,0,crashed
76,-111.95,114,1,0,crashed
77,-146.65,129,1,0,crashed
78,-182.24,101,1,0,crashed
79,-125.90,86,1,0,crashed
80,-207.84,112,1,0,crashed
81,-64.97,148,1,0,crashed
82,-143.28,177,1,0,crashed
83,-167.30,194,1,0,crashed
84,-89.97,86,1,0,crashed
85,-112.44,159,1,0,crashed
86,-189.66,114,1,0,crashed
87,-169.62,153,1,0,crashed
88,-62.96,203,1,0,crashed
89,-178.78,198,1,0,crashed
90,-267.63,150,1,0,crashed
91,-184.52,123,1,0,crashed
92,-97.37,161,1,0,crashed
93,-204.15,93,1,0,crashed
94,-177.97,116,1,0,crashed
95,-106.82,102,1,0,crashed
96,-134.25,148,1,0,crashed
97,-112.98,90,1,0,crashed
98,-156.03,151,1,0,crashed
99,-66.38,102,1,0,crashed
100,-51.05,145,1,0,crashed
101,-18.56,121,1,0,crashed
102,-114.05,93,1,0,crashed
103,-86.47,95,1,0,crashed
104,-128.99,162,1,0,crashed
105,-70.17,128,1,0,crashed
106,-126.19,126,1,0,crashed
107,-54.86,80,1,0,crashed
108,-200.91,129,1,0,crashed
109,-36.45,246,1,0,crashed
110,-96.88,154,1,0,crashed
111,-198.83,259,1,0,crashed
112,-135.56,125,1,0,crashed
113,-85.63,122,1,0,crashed
114,-92.26,147,1,0,crashed
115,-81.58,191,1,0,crashed
116,-77.15,170,1,0,crashed
117,-205.19,230,1,0,crashed
118,-163.47,199,1,0,crashed
119,75.51,1000,0,1,time_limit
120,-128.48,300,1,0,crashed
121,-8.22,154,1,0,crashed
122,-152.29,203,1,0,crashed
123,-40.01,94,1,0,crashed
124,-117.65,370,1,0,crashed
125,-33.25,155,1,0,crashed
126,-92.07,122,1,0,crashed
127,-84.61,110,1,0,crashed
128,-24.68,200,1,0,crashed
129,-95.82,286,1,0,crashed
130,-61.61,145,1,0,crashed
131,-101.35,247,1,0,crashed
