episode,reward,length,terminated,truncated,outcome
1,-133.26,153,1,0,crashed
2,-191.03,82,1,0,crashed
3,-205.39,94,1,0,crashed
4,-303.24,98,1,0,crashed
5,-120.21,110,1,0,crashed
6,-91.50,98,1,0,crashed
7,-253.15,76,1,0,crashed
8,-412.70,119,1,0,out_of_bounds
9,-157.68,67,1,0,crashed
10,-506.50,86,1,0,out_of_bounds
11,-441.65,113,1,0,out_of_bounds
12,-36.69,112,1,0,crashed
13,-238.18,92,1,0,crashed
14,-170.67,72,1,0,crashed
15,-190.64,72,1,0,crashed
16,-106.04,80,1,0,crashed
17,-300.06,87,1,0,crashed
18,-166.10,156,1,0,crashed
19,-107.59,122,1,0,crashed
20,-102.47,133,1,0,crashed
21,-60.81,115,1,0,crashed
22,-96.54,79,1,0,crashed
23,-297.38,82,1,0,crashed
24,-494.74,86,1,0,out_of_bounds
25,-126.49,96,1,0,crashed
26,-93.91,94,1,0,crashed
27,-417.94,94,1,0,out_of_bounds
28,-458.26,127,1,0,out_of_bounds
29,-120.83,97,1,0,crashed
30,-425.76,87,1,0,crashed
31,-257.06,115,1,0,crashed
32,-267.37,139,1,0,crashed
33,-223.74,144,1,0,crashed
34,-98.89,73,1,0,crashed
35,-108.42,76,1,0,crashed
36,-76.06,77,1,0,crashed
37,-97.32,78,1,0,crashed
38,-22.64,80,1,0,crashed
39,-81.09,62,1,0,crashed
40,-71.35,117,1,0,crashed
41,-135.49,122,1,0,crashed
42,-516.64,112,1,0,crashed
43,-198.10,77,1,0,crashed
44,-210.52,135,1,0,out_of_bounds
45,-390.55,82,1,0,out_of_bounds
46,-135.14,65,1,0,crashed
47,-177.14,100,1,0,crashed
48,-135.48,97,1,0,crashed
49,-187.91,145,1,0,out_of_bounds
50,-137.61,117,1,0,crashed
51,-262.55,130,1,0,crashed
52,-424.81,82,1,0,crashed
53,-113.55,95,1,0,crashed
54,-322.11,107,1,0,out_of_bounds
55,-109.75,84,1,0,crashed
56,-95.64,62,1,0,crashed
57,-134.73,95,1,0,crashed
58,-136.96,68,1,0,crashed
59,-94.34,138,1,0,crashed
60,-123.79,77,1,0,crashed
61,-279.97,117,1,0,out_of_bounds
