episode,reward,length,terminated,truncated,outcome
1,-6.36,79,1,0,crashed
2,-324.07,100,1,0,out_of_bounds
3,-126.74,69,1,0,crashed
4,-109.73,70,1,0,crashed
5,-456.04,90,1,0,out_of_bounds
6,-163.05,91,1,0,crashed
7,-36.80,121,1,0,crashed
8,-480.59,109,1,0,crashed
9,-132.56,104,1,0,crashed
10,-103.25,95,1,0,crashed
11,-96.27,110,1,0,crashed
12,-312.68,106,1,0,out_of_bounds
13,-131.13,68,1,0,crashed
14,-81.09,96,1,0,crashed
15,-114.75,77,1,0,crashed
16,-125.77,126,1,0,crashed
17,-117.23,111,1,0,crashed
18,-302.46,74,1,0,crashed
19,-179.93,95,1,0,crashed
20,-90.98,113,1,0,crashed
21,-136.06,86,1,0,crashed
22,-79.67,70,1,0,crashed
23,-143.22,121,1,0,out_of_bounds
24,-134.42,88,1,0,crashed
25,-214.84,91,1,0,crashed
26,-402.71,91,1,0,crashed
27,-343.36,103,1,0,out_of_bounds
28,-290.13,91,1,0,crashed
29,-249.10,88,1,0,crashed
30,-134.33,77,1,0,crashed
31,-484.86,93,1,0,crashed
32,26.52,1001,0,1,time_limit
33,-248.10,77,1,0,crashed
34,-100.78,69,1,0,crashed
35,-279.42,94,1,0,out_of_bounds
36,-460.58,102,1,0,crashed
37,-479.47,103,1,0,out_of_bounds
38,-116.01,63,1,0,crashed
39,-141.24,101,1,0,crashed
40,-311.69,147,1,0,out_of_bounds
41,-384.73,87,1,0,crashed
42,-183.52,102,1,0,crashed
43,-79.87,92,1,0,crashed
44,-409.06,85,1,0,out_of_bounds
45,-190.37,100,1,0,out_of_bounds
46,-369.98,161,1,0,crashed
47,-256.83,121,1,0,out_of_bounds
48,-111.44,100,1,0,crashed
49,-90.05,65,1,0,crashed
50,-142.32,85,1,0,crashed
51,-307.33,137,1,0,crashed
52,-275.73,100,1,0,out_of_bounds
53,-92.34,122,1,0,crashed
54,-422.50,99,1,0,out_of_bounds
55,-121.69,110,1,0,crashed
56,-352.32,123,1,0,crashed
57,-57.43,100,1,0,crashed
58,-107.77,79,1,0,crashed
59,-136.22,159,1,0,crashed
60,-102.61,148,1,0,crashed
61,-244.32,98,1,0,crashed
62,-251.70,93,1,0,crashed
63,-63.76,88,1,0,crashed
64,-110.73,69,1,0,crashed
65,-104.17,91,1,0,crashed
66,-140.48,77,1,0,crashed
67,13.18,146,1,0,crashed
68,-296.19,83,1,0,crashed
69,-300.85,92,1,0,crashed
70,-125.61,108,1,0,crashed
71,-274.36,79,1,0,crashed
72,-162.05,90,1,0,crashed
73,-69.24,67,1,0,crashed
74,-267.10,103,1,0,out_of_bounds
75,-405.22,128,1,0,crashed
76,-377.33,93,1,0,out_of_bounds
77,-91.56,78,1,0,crashed
78,-149.08,89,1,0,crashed
79,-170.99,80,1,0,crashed
80,-55.76,73,1,0,crashed
81,-121.92,78,1,0,crashed
82,-259.86,105,1,0,out_of_bounds
83,-98.89,116,1,0,crashed
84,-392.83,103,1,0,crashed
85,-99.72,119,1,0,crashed
86,-397.64,93,1,0,out_of_bounds
87,-77.86,82,1,0,crashed
88,-102.32,78,1,0,crashed
89,-205.71,94,1,0,crashed
90,-64.54,141,1,0,crashed
91,-411.55,100,1,0,out_of_bounds
92,-95.64,76,1,0,crashed
93,-105.36,73,1,0,crashed
94,-355.11,93,1,0,out_of_bounds
95,-254.37,104,1,0,crashed
96,-302.74,89,1,0,out_of_bounds
97,-281.57,125,1,0,crashed
98,-519.69,139,1,0,crashed
99,-118.41,115,1,0,crashed
100,-123.46,97,1,0,crashed
101,-233.87,112,1,0,crashed
102,-97.84,74,1,0,crashed
103,-258.71,77,1,0,crashed
104,-148.02,118,1,0,out_of_bounds
105,-298.37,95,1,0,crashed
106,-156.14,76,1,0,crashed
107,-139.35,362,1,0,out_of_bounds
108,-376.84,84,1,0,out_of_bounds
109,-393.59,115,1,0,crashed
110,-269.67,81,1,0,crashed
111,-195.34,68,1,0,crashed
112,-181.67,90,1,0,crashed
113,-186.23,106,1,0,crashed
114,-111.34,89,1,0,crashed
115,-111.82,87,1,0,crashed
116,-103.33,64,1,0,crashed
117,-37.74,69,1,0,crashed
118,-414.45,156,1,0,crashed
119,-97.42,64,1,0,crashed
120,-129.11,88,1,0,crashed
121,-118.65,75,1,0,crashed
122,-144.97,87,1,0,crashed
123,-2.28,106,1,0,crashed
124,-89.62,77,1,0,crashed
125,-100.92,88,1,0,crashed
126,-442.38,152,1,0,crashed
127,-205.76,139,1,0,crashed
128,-282.63,77,1,0,crashed
129,-197.44,151,1,0,crashed
130,-203.99,101,1,0,out_of_bounds
131,-223.20,114,1,0,crashed
132,-52.52,77,1,0,crashed
133,-92.23,63,1,0,crashed
134,-82.62,93,1,0,crashed
135,-420.98,76,1,0,out_of_bounds
136,-1.15,81,1,0,crashed
137,-82.65,93,1,0,crashed
138,-145.27,166,1,0,crashed
139,-462.17,92,1,0,crashed
140,-39.75,71,1,0,crashed
141,-237.62,88,1,0,out_of_bounds
142,-342.92,86,1,0,crashed
143,-54.88,82,1,0,crashed
144,-59.90,101,1,0,crashed
145,-140.30,103,1,0,crashed
146,-67.79,78,1,0,crashed
147,-273.15,72,1,0,crashed
148,-130.25,102,1,0,crashed
149,-275.50,115,1,0,crashed
150,-94.98,83,1,0,crashed
151,-130.98,117,1,0,crashed
152,-114.50,83,1,0,crashed
153,-81.14,122,1,0,out_of_bounds
154,-301.20,78,1,0,crashed
155,-49.85,87,1,0,crashed
156,-258.58,156,1,0,crashed
157,-76.26,124,1,0,crashed
158,-119.55,117,1,0,crashed
159,1.52,97,1,0,crashed
160,-118.08,75,1,0,crashed
161,-289.45,115,1,0,out_of_bounds
162,-447.88,96,1,0,out_of_bounds
163,-147.30,122,1,0,crashed
164,-377.98,137,1,0,crashed
165,-296.77,106,1,0,out_of_bounds
166,-81.68,136,1,0,crashed
167,-25.39,88,1,0,crashed
168,-137.07,88,1,0,crashed
169,-428.93,101,1,0,out_of_bounds
170,-326.43,139,1,0,out_of_bounds
171,-392.50,104,1,0,out_of_bounds
172,-53.33,147,1,0,crashed
173,-360.98,97,1,0,out_of_bounds
174,-245.91,86,1,0,crashed
175,-292.70,169,1,0,crashed
176,-321.53,72,1,0,crashed
177,-65.11,87,1,0,crashed
178,-243.52,79,1,0,crashed
179,-64.98,75,1,0,crashed
180,-237.45,143,1,0,out_of_bounds
181,-335.21,117,1,0,out_of_bounds
182,-204.06,127,1,0,crashed
183,-46.00,68,1,0,crashed
184,-301.71,91,1,0,out_of_bounds
185,-185.47,88,1,0,crashed
186,-254.63,111,1,0,out_of_bounds
187,-412.18,125,1,0,out_of_bounds
188,-159.28,75,1,0,crashed
189,-474.31,89,1,0,out_of_bounds
190,-238.90,115,1,0,crashed
191,-252.79,122,1,0,out_of_bounds
192,-224.29,97,1,0,crashed
193,-87.73,93,1,0,crashed
194,-189.82,132,1,0,crashed
195,-467.81,119,1,0,crashed
196,-337.25,101,1,0,out_of_bounds
197,-275.84,78,1,0,crashed
198,-225.49,83,1,0,crashed
199,-366.45,120,1,0,out_of_bounds
200,-76.03,82,1,0,crashed
201,-127.29,78,1,0,crashed
202,-143.84,113,1,0,crashed
203,-54.33,83,1,0,crashed
204,-96.98,70,1,0,crashed
205,-413.92,94,1,0,out_of_bounds
206,-107.76,121,1,0,crashed
207,-355.80,116,1,0,out_of_bounds
208,-352.04,130,1,0,crashed
209,-177.10,118,1,0,crashed
210,-113.36,134,1,0,crashed
211,-385.12,91,1,0,out_of_bounds
212,-121.63,118,1,0,crashed
213,-246.19,84,1,0,crashed
214,-376.89,203,1,0,crashed
215,-199.93,103,1,0,out_of_bounds
216,-374.45,103,1,0,crashed
217,-367.97,83,1,0,out_of_bounds
218,-50.50,134,1,0,crashed
219,-65.92,73,1,0,crashed
220,-97.44,86,1,0,crashed
221,-68.70,80,1,0,crashed
222,-346.44,102,1,0,out_of_bounds
223,-345.46,125,1,0,crashed
224,-51.12,157,1,0,crashed
225,-206.07,126,1,0,out_of_bounds
226,-326.95,135,1,0,out_of_bounds
227,-190.40,102,1,0,crashed
228,-200.18,107,1,0,crashed
229,-221.91,149,1,0,out_of_bounds
230,-85.14,96,1,0,crashed
231,-177.31,100,1,0,crashed
232,-88.64,82,1,0,crashed
233,-247.70,105,1,0,crashed
234,-98.70,100,1,0,crashed
235,-118.43,87,1,0,crashed
236,-400.55,102,1,0,out_of_bounds
237,-159.11,66,1,0,crashed
238,-75.82,63,1,0,crashed
239,-393.77,114,1,0,crashed
240,-313.95,126,1,0,crashed
241,-171.32,101,1,0,crashed
242,-88.98,136,1,0,crashed
243,-62.75,69,1,0,crashed
244,-59.35,86,1,0,crashed
245,-93.40,71,1,0,crashed
246,-114.62,94,1,0,crashed
247,-219.33,161,1,0,crashed
248,-126.49,74,1,0,crashed
249,-547.26,93,1,0,out_of_bounds
250,-348.07,128,1,0,crashed
251,-352.91,96,1,0,crashed
252,-76.48,78,1,0,crashed
253,-409.57,117,1,0,out_of_bounds
254,-89.38,90,1,0,crashed
255,-245.92,121,1,0,crashed
256,-161.33,104,1,0,crashed
257,-190.58,117,1,0,crashed
258,-474.95,94,1,0,crashed
259,-9.12,100,1,0,crashed
260,-219.57,118,1,0,out_of_bounds
261,-252.86,146,1,0,crashed
262,-309.76,94,1,0,out_of_bounds
263,-301.41,91,1,0,out_of_bounds
264,-134.54,165,1,0,crashed
265,-42.54,97,1,0,crashed
266,-320.98,146,1,0,out_of_bounds
267,-332.68,133,1,0,out_of_bounds
268,-123.45,119,1,0,crashed
269,-476.68,93,1,0,out_of_bounds
