episode,reward,length,terminated,truncated,outcome
1,-313.25,76,1,0,crashed
2,-113.92,77,1,0,crashed
3,-89.90,70,1,0,crashed
4,-313.68,132,1,0,out_of_bounds
5,-80.35,91,1,0,crashed
6,-124.46,114,1,0,crashed
7,-100.32,103,1,0,crashed
8,-200.21,67,1,0,crashed
9,-178.72,142,1,0,crashed
10,-118.16,164,1,0,crashed
11,-85.93,92,1,0,crashed
12,-309.61,109,1,0,crashed
13,-169.29,97,1,0,crashed
14,-40.81,145,1,0,crashed
15,-43.96,81,1,0,crashed
16,-308.95,88,1,0,out_of_bounds
17,-387.68,137,1,0,out_of_bounds
18,-437.25,104,1,0,crashed
19,-320.83,103,1,0,out_of_bounds
20,-112.19,94,1,0,crashed
21,-254.66,93,1,0,out_of_bounds
22,-383.17,99,1,0,out_of_bounds
23,-79.19,87,1,0,crashed
24,-114.37,115,1,0,crashed
25,-108.26,121,1,0,out_of_bounds
26,-84.16,82,1,0,crashed
27,-75.74,185,1,0,crashed
28,-396.58,87,1,0,out_of_bounds
29,-315.32,139,1,0,out_of_bounds
30,-373.24,79,1,0,out_of_bounds
31,-248.23,102,1,0,out_of_bounds
32,-318.25,188,1,0,out_of_bounds
33,-56.70,172,1,0,crashed
34,-384.72,98,1,0,out_of_bounds
35,-360.36,106,1,0,out_of_bounds
36,-347.44,163,1,0,crashed
37,-224.79,178,1,0,out_of_bounds
38,-378.56,95,1,0,out_of_bounds
39,-463.11,84,1,0,out_of_bounds
40,-429.94,137,1,0,out_of_bounds
41,-388.29,123,1,0,out_of_bounds
42,-290.07,127,1,0,out_of_bounds
43,-49.06,112,1,0,crashed
44,-431.15,139,1,0,crashed
45,-229.75,106,1,0,out_of_bounds
46,-346.29,174,1,0,out_of_bounds
47,-143.60,82,1,0,crashed
48,-366.35,135,1,0,crashed
49,-243.45,138,1,0,crashed
50,-327.05,146,1,0,crashed
51,-317.22,127,1,0,out_of_bounds
52,-265.96,84,1,0,out_of_bounds
53,-582.92,214,1,0,crashed
54,-338.30,84,1,0,out_of_bounds
55,-502.84,113,1,0,crashed
56,-269.05,124,1,0,out_of_bounds
57,-253.91,94,1,0,out_of_bounds
58,-131.53,318,1,0,out_of_bounds
59,-429.11,108,1,0,out_of_bounds
60,-210.62,124,1,0,out_of_bounds
61,-311.43,84,1,0,out_of_bounds
62,-382.01,129,1,0,crashed
63,-505.61,229,1,0,out_of_bounds
64,-151.55,180,1,0,crashed
65,-407.33,76,1,0,out_of_bounds
66,-339.52,568,1,0,crashed
67,-169.67,163,1,0,out_of_bounds
68,-326.65,233,1,0,out_of_bounds
69,-340.34,159,1,0,out_of_bounds
70,-240.80,99,1,0,out_of_bounds
71,-33.64,118,1,0,crashed
72,-519.39,194,1,0,crashed
73,-219.04,136,1,0,out_of_bounds
74,-535.14,181,1,0,crashed
75,-539.29,266,1,0,out_of_bounds
76,-323.64,133,1,0,crashed
77,-425.82,175,1,0,crashed
78,-66.47,105,1,0,crashed
79,-361.60,306,1,0,out_of_bounds
