episode,reward,length,terminated,truncated,outcome
1,-408.22,116,1,0,crashed
2,-117.57,85,1,0,crashed
3,-105.20,115,1,0,crashed
4,-228.62,75,1,0,crashed
5,-224.10,164,1,0,crashed
6,-193.08,121,1,0,crashed
7,-218.16,108,1,0,crashed
8,-274.28,104,1,0,out_of_bounds
9,-329.50,85,1,0,crashed
10,-98.54,111,1,0,crashed
11,-140.86,106,1,0,crashed
12,-71.70,68,1,0,crashed
13,-70.93,86,1,0,crashed
14,-129.37,79,1,0,crashed
15,-110.28,107,1,0,crashed
16,-281.84,107,1,0,out_of_bounds
17,-105.90,83,1,0,crashed
18,-100.08,79,1,0,crashed
19,-218.88,113,1,0,crashed
20,-150.70,67,1,0,crashed
21,-242.54,107,1,0,crashed
22,-89.84,65,1,0,crashed
23,-76.64,66,1,0,crashed
24,-103.48,70,1,0,crashed
25,-95.70,73,1,0,crashed
26,4.67,139,1,0,crashed
27,-77.75,76,1,0,crashed
28,-356.73,84,1,0,out_of_bounds
29,-44.99,154,1,0,crashed
30,-381.34,130,1,0,crashed
31,17.09,94,1,0,crashed
32,-401.26,109,1,0,out_of_bounds
33,-356.58,86,1,0,crashed
34,-380.63,142,1,0,crashed
35,-134.15,119,1,0,crashed
36,-93.01,137,1,0,crashed
37,-62.08,105,1,0,crashed
38,-90.47,81,1,0,crashed
39,-176.55,107,1,0,out_of_bounds
40,-340.00,92,1,0,out_of_bounds
41,-42.48,167,1,0,crashed
42,-231.52,125,1,0,out_of_bounds
43,-146.04,108,1,0,crashed
44,-73.74,91,1,0,crashed
45,-279.89,117,1,0,out_of_bounds
46,-155.72,90,1,0,crashed
47,-224.65,116,1,0,out_of_bounds
48,-147.06,88,1,0,crashed
49,-91.21,138,1,0,crashed
50,-44.53,108,1,0,crashed
51,-102.23,89,1,0,crashed
52,-159.51,170,1,0,crashed
53,-201.94,127,1,0,out_of_bounds
54,-96.58,95,1,0,crashed
55,-31.11,136,1,0,crashed
56,-57.06,107,1,0,crashed
57,-241.96,164,1,0,crashed
58,-139.83,114,1,0,crashed
59,-194.91,107,1,0,crashed
60,-247.74,146,1,0,crashed
61,-33.51,168,1,0,crashed
62,-129.56,113,1,0,out_of_bounds
63,-25.02,73,1,0,crashed
64,-68.19,84,1,0,crashed
65,2.86,118,1,0,crashed
66,-183.65,135,1,0,crashed
67,-41.92,137,1,0,crashed
68,-166.07,171,1,0,crashed
69,-112.00,142,1,0,crashed
70,-145.72,125,1,0,crashed
71,-153.33,161,1,0,crashed
72,-116.72,138,1,0,crashed
73,-75.74,141,1,0,crashed
74,-120.97,116,1,0,crashed
75,-197.01,153,1,0,crashed
