episode,reward,length,terminated,truncated,outcome
1,-114.54,58,1,0,crashed
2,-90.05,60,1,0,crashed
3,-105.02,94,1,0,crashed
4,-364.13,98,1,0,crashed
5,-216.79,107,1,0,crashed
6,-122.07,110,1,0,crashed
7,-332.25,122,1,0,crashed
8,-44.21,65,1,0,crashed
9,-115.48,77,1,0,crashed
10,-439.90,173,1,0,crashed
11,-51.76,67,1,0,crashed
12,-77.86,83,1,0,crashed
13,-127.29,63,1,0,crashed
14,-16.81,103,1,0,crashed
15,-441.87,97,1,0,crashed
16,-81.45,81,1,0,crashed
17,-173.24,96,1,0,crashed
18,-50.10,67,1,0,crashed
19,5.49,72,1,0,crashed
20,-301.15,95,1,0,crashed
21,-273.67,77,1,0,crashed
22,-416.95,122,1,0,out_of_bounds
23,-259.96,100,1,0,crashed
24,-45.08,86,1,0,crashed
25,-324.43,94,1,0,out_of_bounds
26,-213.27,133,1,0,crashed
27,-230.03,97,1,0,crashed
28,-70.89,66,1,0,crashed
29,-198.16,88,1,0,crashed
30,-89.24,76,1,0,crashed
31,-112.52,75,1,0,crashed
32,-65.22,71,1,0,crashed
33,-185.85,78,1,0,crashed
34,-85.29,72,1,0,crashed
35,-215.79,97,1,0,out_of_bounds
36,-123.34,137,1,0,crashed
37,-4.87,82,1,0,crashed
38,-381.26,87,1,0,out_of_bounds
39,-300.11,121,1,0,out_of_bounds
40,-80.18,71,1,0,crashed
41,-130.54,89,1,0,crashed
42,-432.85,95,1,0,crashed
43,-286.59,140,1,0,crashed
44,-98.24,143,1,0,crashed
45,-117.52,89,1,0,crashed
46,-141.14,128,1,0,crashed
47,-107.15,141,1,0,crashed
48,-121.52,114,1,0,crashed
49,-166.59,72,1,0,crashed
50,-57.27,69,1,0,crashed
51,-410.37,112,1,0,out_of_bounds
52,-247.88,96,1,0,out_of_bounds
53,-411.27,160,1,0,crashed
54,-199.55,104,1,0,out_of_bounds
55,-137.45,116,1,0,crashed
56,-344.61,112,1,0,out_of_bounds
57,-137.42,82,1,0,crashed
58,-69.75,95,1,0,crashed
59,-67.78,128,1,0,crashed
60,-79.70,85,1,0,crashed
61,-138.76,97,1,0,crashed
62,-417.83,139,1,0,crashed
63,-361.46,80,1,0,out_of_bounds
64,-487.64,118,1,0,out_of_bounds
65,-317.56,110,1,0,out_of_bounds
66,-401.27,118,1,0,crashed
67,-334.08,111,1,0,crashed
68,-470.46,113,1,0,crashed
69,-588.06,159,1,0,out_of_bounds
70,-549.46,190,1,0,crashed
71,-120.55,80,1,0,crashed
72,-386.35,130,1,0,out_of_bounds
73,-403.27,111,1,0,crashed
74,-240.41,74,1,0,crashed
75,-82.43,111,1,0,crashed
76,-372.70,159,1,0,out_of_bounds
77,-607.01,136,1,0,out_of_bounds
78,-383.33,115,1,0,crashed
79,-250.74,105,1,0,out_of_bounds
80,-269.70,140,1,0,crashed
81,-88.28,157,1,0,crashed
82,-202.55,91,1,0,crashed
83,-126.13,108,1,0,crashed
84,-186.69,110,1,0,out_of_bounds
85,-92.85,108,1,0,crashed
86,-340.52,162,1,0,crashed
87,-89.09,119,1,0,crashed
88,-106.17,87,1,0,crashed
89,-355.03,107,1,0,out_of_bounds
90,-27.77,93,1,0,crashed
91,-195.88,191,1,0,out_of_bounds
92,-158.14,126,1,0,crashed
93,-434.30,135,1,0,out_of_bounds
94,-262.70,80,1,0,crashed
95,-100.67,131,1,0,crashed
96,-366.29,120,1,0,crashed
97,-303.72,94,1,0,out_of_bounds
98,-317.12,97,1,0,out_of_bounds
99,-297.68,198,1,0,crashed
100,-212.21,107,1,0,out_of_bounds
101,-121.87,75,1,0,crashed
102,-90.06,116,1,0,crashed
103,-165.09,144,1,0,crashed
104,-227.92,100,1,0,crashed
105,-280.02,264,1,0,crashed
106,-87.57,73,1,0,crashed
107,-360.78,157,1,0,crashed
108,-153.26,113,1,0,out_of_bounds
109,-317.01,95,1,0,out_of_bounds
110,-74.98,120,1,0,crashed
111,-287.70,153,1,0,crashed
112,-124.86,205,1,0,crashed
113,-102.10,186,1,0,crashed
114,-257.91,106,1,0,out_of_bounds
115,-221.87,94,1,0,crashed
116,-136.55,123,1,0,crashed
117,-341.06,131,1,0,crashed
118,-581.44,153,1,0,crashed
119,-73.34,108,1,0,crashed
120,-224.21,103,1,0,crashed
121,-259.53,171,1,0,out_of_bounds
122,-52.38,117,1,0,crashed
123,-44.90,117,1,0,crashed
124,-454.24,110,1,0,crashed
125,-391.27,103,1,0,crashed
126,-329.60,80,1,0,crashed
127,-58.89,83,1,0,crashed
128,-346.16,91,1,0,crashed
129,-125.04,123,1,0,crashed
130,-85.59,117,1,0,crashed
