episode,reward,length,terminated,truncated,outcome
1,-382.33,98,1,0,out_of_bounds
2,-129.05,73,1,0,crashed
3,-145.70,78,1,0,crashed
4,-93.77,87,1,0,crashed
5,-113.72,97,1,0,crashed
6,-115.98,102,1,0,crashed
7,-240.04,103,1,0,crashed
8,-244.99,95,1,0,crashed
9,-136.17,64,1,0,crashed
10,-125.69,119,1,0,crashed
11,-439.28,132,1,0,crashed
12,-592.71,81,1,0,out_of_bounds
13,-553.25,100,1,0,out_of_bounds
14,-315.00,92,1,0,crashed
15,-507.81,91,1,0,out_of_bounds
16,-148.99,84,1,0,crashed
17,24.26,88,1,0,crashed
18,-233.47,111,1,0,crashed
19,-505.94,126,1,0,crashed
20,-341.13,130,1,0,crashed
21,-789.74,246,1,0,out_of_bounds
22,-382.69,134,1,0,crashed
23,-95.21,63,1,0,crashed
24,-102.08,66,1,0,crashed
25,-296.61,124,1,0,out_of_bounds
26,-112.83,61,1,0,crashed
27,-159.47,121,1,0,crashed
28,-71.30,87,1,0,crashed
29,-387.72,123,1,0,crashed
30,-395.77,107,1,0,crashed
31,-315.04,117,1,0,crashed
32,-475.01,172,1,0,crashed
33,-113.76,90,1,0,crashed
34,-175.60,77,1,0,crashed
35,-139.94,145,1,0,crashed
36,-226.31,135,1,0,crashed
37,-132.83,99,1,0,crashed
38,-55.27,84,1,0,crashed
39,-136.20,151,1,0,crashed
40,-569.46,172,1,0,out_of_bounds
41,-72.87,68,1,0,crashed
42,-295.89,159,1,0,out_of_bounds
43,-216.14,174,1,0,crashed
44,-357.93,291,1,0,crashed
45,-521.71,158,1,0,out_of_bounds
46,-65.64,128,1,0,crashed
47,-466.28,356,1,0,crashed
48,-155.97,310,1,0,crashed
49,-312.61,242,1,0,crashed
50,-229.94,113,1,0,crashed
51,-252.37,121,1,0,crashed
52,-347.72,194,1,0,crashed
53,-20.41,101,1,0,crashed
54,-192.69,315,1,0,crashed
55,-205.72,76,1,0,crashed
56,-2.72,266,1,0,crashed
57,-44.96,168,1,0,crashed
58,15.89,446,1,0,crashed
59,166.65,801,1,0,landed_success
60,-5.67,258,1,0,crashed
61,0.17,246,1,0,crashed
62,-22.41,91,1,0,crashed
63,-1.29,258,1,0,crashed
64,-56.37,309,1,0,crashed
65,-152.52,402,1,0,crashed
66,-126.65,957,1,0,crashed
67,-28.13,222,1,0,crashed
68,-127.62,93,1,0,crashed
69,-198.96,331,1,0,crashed
70,-29.28,148,1,0,crashed
71,126.14,667,1,0,landed_success
72,-208.94,155,1,0,crashed
73,24.29,183,1,0,crashed
74,-249.84,339,1,0,crashed
75,-34.05,180,1,0,crashed
76,-258.82,782,1,0,crashed
77,-205.74,293,1,0,crashed
78,-28.19,312,1,0,crashed
79,-210.48,433,1,0,crashed
80,-169.40,1001,0,1,time_limit
81,-35.68,1001,0,1,time_limit
82,-154.24,178,1,0,crashed
83,-15.17,273,1,0,crashed
84,-8.46,1001,0,1,time_limit
85,-197.17,245,1,0,crashed
86,-12.27,1001,0,1,time_limit
87,-156.34,290,1,0,crashed
88,226.56,609,1,0,landed_success
89,-252.33,603,1,0,crashed
90,-95.44,654,1,0,crashed
91,-32.35,1001,0,1,time_limit
92,-148.39,1001,0,1,time_limit
93,-147.70,1001,0,1,time_limit
94,3.14,208,1,0,crashed
95,28.17,180,1,0,crashed
96,169.58,1001,0,1,time_limit
97,288.20,421,1,0,landed_success
98,185.74,363,1,0,landed_success
99,-129.98,1001,0,1,time_limit
100,-138.42,1001,0,1,time_limit
101,-49.41,355,1,0,crashed
102,-160.56,1001,0,1,time_limit
103,83.56,1001,0,1,time_limit
104,262.05,915,1,0,landed_success
105,313.60,916,1,0,landed_success
106,-299.07,97,1,0,crashed
107,27.11,175,1,0,crashed
108,13.31,318,1,0,crashed
109,-232.35,334,1,0,crashed
110,-93.50,567,1,0,crashed
111,-133.96,1001,0,1,time_limit
112,-62.99,1001,0,1,time_limit
113,35.03,264,1,0,crashed
114,-174.44,233,1,0,crashed
115,-192.98,332,1,0,crashed
116,-114.97,1001,0,1,time_limit
117,-153.39,1001,0,1,time_limit
118,-49.98,343,1,0,crashed
119,-127.61,1001,0,1,time_limit
120,-37.18,302,1,0,crashed
121,-274.15,906,1,0,crashed
122,160.21,375,1,0,landed_success
123,-96.82,1001,0,1,time_limit
124,-106.81,1001,0,1,time_limit
125,-87.04,1001,0,1,time_limit
126,-142.91,1001,0,1,time_limit
127,231.68,579,1,0,landed_success
128,-384.48,815,1,0,crashed
129,-321.02,413,1,0,crashed
130,-113.69,131,1,0,crashed
131,-11.98,1001,0,1,time_limit
132,-119.32,780,1,0,crashed
133,17.23,424,1,0,crashed
134,-115.34,480,1,0,crashed
135,-176.76,257,1,0,crashed
136,-119.11,313,1,0,crashed
137,-34.30,251,1,0,crashed
138,-153.19,295,1,0,crashed
139,-228.91,425,1,0,crashed
140,-112.66,407,1,0,crashed
141,-223.06,282,1,0,crashed
142,-279.57,303,1,0,crashed
143,-236.55,297,1,0,crashed
144,-266.00,316,1,0,crashed
145,-230.64,110,1,0,crashed
146,-165.39,480,1,0,crashed
147,-266.30,614,1,0,crashed
148,-162.98,1001,0,1,time_limit
149,-116.21,174,1,0,crashed
150,-86.97,1001,0,1,time_limit
151,68.44,193,1,0,crashed
152,43.46,252,1,0,crashed
153,-112.89,1001,0,1,time_limit
154,-152.90,1001,0,1,time_limit
155,-141.33,1001,0,1,time_limit
156,-94.02,1001,0,1,time_limit
157,-2.10,445,1,0,crashed
158,43.88,277,1,0,crashed
159,-110.60,1001,0,1,time_limit
160,-85.92,319,1,0,crashed
161,-74.15,360,1,0,crashed
162,-113.86,297,1,0,crashed
163,7.11,344,1,0,crashed
164,-30.65,236,1,0,crashed
165,1.80,226,1,0,crashed
166,-129.40,1001,0,1,time_limit
167,-169.34,210,1,0,crashed
168,-225.90,301,1,0,crashed
