episode,reward,length,terminated,truncated,outcome
1,-100.71,76,1,0,crashed
2,-274.48,95,1,0,crashed
3,-37.60,105,1,0,crashed
4,-181.93,78,1,0,crashed
5,-126.59,93,1,0,crashed
6,-208.44,136,1,0,crashed
7,-106.43,142,1,0,crashed
8,-349.82,81,1,0,out_of_bounds
9,-126.29,117,1,0,crashed
10,-95.71,61,1,0,crashed
11,-292.38,122,1,0,crashed
12,-406.83,87,1,0,out_of_bounds
13,-170.78,101,1,0,out_of_bounds
14,-182.56,90,1,0,crashed
15,-162.54,66,1,0,crashed
16,-127.84,69,1,0,crashed
17,-303.39,103,1,0,crashed
18,-166.00,77,1,0,crashed
19,-80.86,61,1,0,crashed
20,-109.59,111,1,0,crashed
21,-373.41,73,1,0,crashed
22,-89.18,101,1,0,crashed
23,-66.90,76,1,0,crashed
24,-308.98,79,1,0,crashed
25,-90.05,78,1,0,crashed
26,-261.26,97,1,0,out_of_bounds
27,-290.43,112,1,0,crashed
28,-103.92,109,1,0,crashed
29,-42.59,70,1,0,crashed
30,-73.78,67,1,0,crashed
31,-382.60,98,1,0,crashed
32,-56.97,112,1,0,crashed
33,-429.89,103,1,0,out_of_bounds
34,-259.77,114,1,0,crashed
35,-190.30,101,1,0,crashed
36,-66.32,89,1,0,crashed
37,-128.64,95,1,0,crashed
38,-279.15,100,1,0,crashed
39,-336.19,111,1,0,crashed
40,-250.09,102,1,0,crashed
41,-283.24,106,1,0,crashed
42,-92.83,72,1,0,crashed
43,-136.30,125,1,0,crashed
44,-279.84,101,1,0,crashed
45,-322.70,130,1,0,crashed
46,-330.79,112,1,0,out_of_bounds
47,-178.32,71,1,0,crashed
48,-273.59,100,1,0,crashed
49,-40.66,63,1,0,crashed
50,-257.41,108,1,0,crashed
51,-235.69,89,1,0,crashed
52,-318.98,85,1,0,crashed
53,-24.09,152,1,0,crashed
54,-64.20,78,1,0,crashed
55,-249.88,138,1,0,crashed
56,-71.31,87,1,0,crashed
57,-30.01,145,1,0,crashed
58,-30.56,111,1,0,crashed
59,-113.20,89,1,0,crashed
60,-135.08,136,1,0,crashed
61,-41.81,153,1,0,crashed
62,-261.41,162,1,0,crashed
63,-50.91,80,1,0,crashed
64,-280.02,153,1,0,crashed
65,-136.53,168,1,0,crashed
66,-46.78,174,1,0,crashed
67,-345.18,150,1,0,crashed
68,-179.07,108,1,0,out_of_bounds
69,-188.03,134,1,0,crashed
70,-158.32,97,1,0,crashed
71,-177.85,127,1,0,crashed
72,-58.37,159,1,0,crashed
73,-90.47,179,1,0,crashed
74,-113.42,93,1,0,crashed
75,-171.35,139,1,0,crashed
76,-191.41,126,1,0,crashed
77,-184.39,126,1,0,crashed
78,-250.89,128,1,0,crashed
79,-91.39,130,1,0,crashed
80,-143.85,158,1,0,crashed
81,-137.67,138,1,0,crashed
82,-137.85,70,1,0,crashed
83,-13.37,144,1,0,crashed
84,-123.97,111,1,0,crashed
85,-172.23,117,1,0,crashed
86,-170.36,137,1,0,crashed
87,-10.27,85,1,0,crashed
88,-87.55,89,1,0,crashed
89,-130.08,108,1,0,crashed
90,-106.93,108,1,0,crashed
91,-31.65,210,1,0,crashed
92,-91.12,79,1,0,crashed
93,-109.12,124,1,0,crashed
94,-171.01,129,1,0,crashed
95,-16.85,137,1,0,crashed
96,17.34,110,1,0,crashed
97,-76.38,93,1,0,crashed
98,-4.85,141,1,0,crashed
99,-32.67,140,1,0,crashed
100,-73.84,119,1,0,crashed
101,-117.86,126,1,0,crashed
102,-48.13,195,1,0,crashed
103,-70.00,147,1,0,crashed
104,-154.98,135,1,0,crashed
105,-108.70,80,1,0,crashed
106,-123.45,135,1,0,crashed
107,-129.60,89,1,0,crashed
108,-125.76,162,1,0,crashed
109,-411.65,111,1,0,crashed
