episode,reward,length,terminated,truncated,outcome
1,-57.39,77,1,0,crashed
2,-61.64,63,1,0,crashed
3,-316.03,118,1,0,crashed
4,-87.53,65,1,0,crashed
5,-129.05,111,1,0,crashed
6,-183.75,105,1,0,crashed
7,-108.91,64,1,0,crashed
8,-119.23,88,1,0,crashed
9,-380.32,97,1,0,crashed
10,-355.99,140,1,0,crashed
11,-307.32,88,1,0,crashed
12,-389.80,85,1,0,out_of_bounds
13,-166.25,116,1,0,out_of_bounds
14,-320.45,101,1,0,out_of_bounds
15,-132.24,106,1,0,crashed
16,-127.81,124,1,0,crashed
17,-123.42,90,1,0,crashed
18,-145.69,112,1,0,crashed
19,-66.21,94,1,0,crashed
20,-169.63,98,1,0,crashed
21,-103.34,89,1,0,crashed
22,-61.96,70,1,0,crashed
23,-143.91,117,1,0,crashed
24,-85.71,81,1,0,crashed
25,-124.94,72,1,0,crashed
26,-86.35,112,1,0,crashed
27,-99.76,72,1,0,crashed
28,-145.83,123,1,0,crashed
29,-244.13,99,1,0,crashed
30,-225.97,90,1,0,crashed
31,-116.30,71,1,0,crashed
32,-155.18,61,1,0,crashed
33,-84.62,82,1,0,crashed
34,-253.92,102,1,0,crashed
35,-322.89,88,1,0,out_of_bounds
36,-114.68,104,1,0,crashed
37,-258.68,94,1,0,crashed
38,-200.91,109,1,0,crashed
39,-159.74,72,1,0,crashed
40,-183.42,119,1,0,out_of_bounds
41,16.03,123,1,0,crashed
42,-118.58,123,1,0,crashed
43,-96.95,147,1,0,crashed
44,-63.57,74,1,0,crashed
45,-84.00,97,1,0,crashed
46,-51.74,125,1,0,crashed
47,-155.59,86,1,0,crashed
48,-24.56,143,1,0,crashed
49,-235.79,71,1,0,crashed
50,-194.60,91,1,0,crashed
51,-111.03,89,1,0,crashed
52,-268.35,121,1,0,crashed
53,-140.04,107,1,0,out_of_bounds
54,-52.18,123,1,0,crashed
55,37.04,129,1,0,crashed
56,-120.28,153,1,0,crashed
57,-19.86,83,1,0,crashed
58,2.15,99,1,0,crashed
59,-56.17,83,1,0,crashed
60,-107.62,93,1,0,crashed
61,-188.10,95,1,0,crashed
62,-129.57,131,1,0,crashed
63,24.18,167,1,0,crashed
64,-109.02,92,1,0,crashed
65,-34.45,108,1,0,crashed
66,-368.66,127,1,0,crashed
67,-118.56,99,1,0,crashed
68,-123.24,119,1,0,crashed
69,-74.99,78,1,0,crashed
70,-124.75,79,1,0,crashed
71,-149.71,95,1,0,crashed
72,-115.48,102,1,0,crashed
73,-145.34,138,1,0,crashed
74,-119.47,101,1,0,crashed
75,-86.87,83,1,0,crashed
76,-173.91,116,1,0,crashed
77,-108.20,122,1,0,crashed
78,-229.12,147,1,0,crashed
79,-146.03,107,1,0,crashed
80,-135.61,76,1,0,crashed
81,-184.04,208,1,0,crashed
82,-106.77,73,1,0,crashed
83,-89.63,78,1,0,crashed
84,-204.23,181,1,0,crashed
85,-71.80,165,1,0,crashed
86,-113.84,96,1,0,crashed
87,-147.36,170,1,0,crashed
88,-311.76,180,1,0,crashed
89,-56.37,176,1,0,crashed
90,-203.22,167,1,0,crashed
91,-150.54,131,1,0,crashed
92,-61.93,135,1,0,crashed
93,-50.90,272,1,0,crashed
94,-139.36,216,1,0,crashed
95,-78.00,72,1,0,crashed
96,-223.14,122,1,0,crashed
97,-129.01,117,1,0,crashed
98,-150.64,93,1,0,crashed
99,-54.24,226,1,0,crashed
100,-126.99,123,1,0,crashed
101,-47.16,151,1,0,crashed
102,-201.39,248,1,0,crashed
103,-213.74,112,1,0,crashed
104,-147.74,219,1,0,crashed
105,-104.83,165,1,0,crashed
106,-111.91,143,1,0,crashed
107,-71.90,206,1,0,crashed
108,-119.17,156,1,0,crashed
109,-20.52,188,1,0,crashed
110,-34.83,122,1,0,crashed
111,-122.87,115,1,0,crashed
112,-81.30,104,1,0,crashed
113,-228.47,163,1,0,crashed
114,-114.77,112,1,0,crashed
115,-108.60,179,1,0,crashed
116,-246.78,187,1,0,crashed
117,-81.37,130,1,0,crashed
118,-136.60,126,1,0,crashed
119,-44.28,103,1,0,crashed
120,-111.12,263,1,0,crashed
121,-184.69,175,1,0,crashed
122,6.09,252,1,0,crashed
123,-89.22,151,1,0,crashed
124,-62.41,267,1,0,crashed
125,-29.30,215,1,0,crashed
126,-77.67,164,1,0,crashed
127,-49.66,131,1,0,crashed
128,-81.75,202,1,0,crashed
129,-78.53,138,1,0,crashed
130,-70.48,167,1,0,crashed
131,16.62,166,1,0,crashed
132,-96.02,230,1,0,crashed
133,50.70,1000,0,1,time_limit
134,-252.63,156,1,0,crashed
135,-68.77,254,1,0,crashed
136,-73.07,131,1,0,crashed
137,-116.25,161,1,0,crashed
138,-103.48,273,1,0,crashed
139,24.55,249,1,0,crashed
140,-138.27,123,1,0,crashed
141,-200.18,199,1,0,crashed
142,-106.61,231,1,0,crashed
143,-146.17,118,1,0,crashed
144,-238.12,308,1,0,crashed
145,-44.82,92,1,0,crashed
146,-18.82,213,1,0,crashed
147,-19.37,174,1,0,crashed
148,-42.57,103,1,0,crashed
149,-0.52,112,1,0,crashed
150,-160.36,187,1,0,crashed
151,-69.07,301,1,0,crashed
152,-50.81,143,1,0,crashed
153,-74.91,153,1,0,crashed
154,-192.98,114,1,0,crashed
155,-29.37,274,1,0,crashed
156,-216.90,201,1,0,crashed
157,-228.56,134,1,0,crashed
158,-297.02,189,1,0,crashed
159,-267.40,198,1,0,crashed
160,-174.13,191,1,0,crashed
161,-17.15,140,1,0,crashed
162,-181.54,153,1,0,crashed
163,-89.94,80,1,0,crashed
164,-64.81,192,1,0,crashed
165,-108.83,222,1,0,crashed
166,-40.79,146,1,0,crashed
167,-294.10,660,1,0,crashed
168,-57.64,317,1,0,crashed
169,-27.98,425,1,0,crashed
170,-80.70,187,1,0,crashed
171,-141.09,251,1,0,crashed
172,-157.70,116,1,0,crashed
173,-92.20,152,1,0,crashed
174,-7.76,202,1,0,crashed
175,-257.52,185,1,0,crashed
176,-126.44,918,1,0,crashed
177,-30.19,138,1,0,crashed
178,-290.47,323,1,0,crashed
179,-55.23,150,1,0,crashed
180,-41.60,213,1,0,crashed
181,16.51,1000,0,1,time_limit
182,-13.85,192,1,0,crashed
183,-95.26,492,1,0,crashed
184,-78.71,163,1,0,crashed
185,-37.99,213,1,0,crashed
186,92.69,1000,0,1,time_limit
187,7.20,259,1,0,crashed
188,-224.13,636,1,0,out_of_bounds
189,-49.96,240,1,0,crashed
190,-18.54,325,1,0,crashed
191,3.14,1000,0,1,time_limit
192,64.85,195,1,0,crashed
193,-246.45,200,1,0,crashed
194,-59.83,184,1,0,crashed
195,-104.70,95,1,0,crashed
196,-104.57,150,1,0,crashed
197,-60.22,1000,0,1,time_limit
198,-50.36,118,1,0,crashed
199,-13.76,1000,0,1,time_limit
200,-76.69,1000,0,1,time_limit
201,-217.12,185,1,0,crashed
202,-91.38,1000,0,1,time_limit
203,-134.72,470,1,0,crashed
204,-30.95,469,1,0,crashed
205,-292.88,866,1,0,crashed
206,-28.77,349,1,0,crashed
207,-143.83,572,1,0,crashed
208,24.15,1000,0,1,time_limit
209,-183.84,100,1,0,crashed
210,-105.59,1000,0,1,time_limit
211,-17.52,1000,0,1,time_limit
212,4.94,1000,0,1,time_limit
213,-229.81,949,1,0,crashed
214,-80.06,1000,0,1,time_limit
215,24.14,160,1,0,crashed
216,-34.46,192,1,0,crashed
217,-11.30,1000,0,1,time_limit
218,-2.71,176,1,0,crashed
219,-9.49,246,1,0,crashed
220,-6.56,208,1,0,crashed
221,-50.39,580,1,0,crashed
222,-122.16,1000,0,1,time_limit
223,-158.04,259,1,0,crashed
224,-157.01,240,1,0,crashed
225,-128.67,585,1,0,crashed
226,-36.03,1000,0,1,time_limit
227,23.34,1000,0,1,time_limit
228,-62.31,283,1,0,crashed
229,-55.60,1000,0,1,time_limit
230,-43.27,166,1,0,crashed
231,19.55,275,1,0,crashed
232,15.81,122,1,0,crashed
233,-20.04,243,1,0,crashed
234,-44.11,388,1,0,crashed
235,-67.82,212,1,0,crashed
236,6.93,1000,0,1,time_limit
237,-77.33,815,1,0,crashed
238,-39.46,285,1,0,crashed
239,-4.22,1000,0,1,time_limit
240,-40.11,1000,0,1,time_limit
241,-72.14,1000,0,1,time_limit
242,-79.05,1000,0,1,time_limit
243,-29.56,1000,0,1,time_limit
244,-48.76,113,1,0,crashed
245,8.96,1000,0,1,time_limit
246,-31.37,95,1,0,crashed
247,-20.35,1000,0,1,time_limit
248,-26.29,1000,0,1,time_limit
249,-26.27,1000,0,1,time_limit
250,23.68,1000,0,1,time_limit
251,-38.01,1000,0,1,time_limit
252,-37.24,1000,0,1,time_limit
253,17.82,1000,0,1,time_limit
254,-39.89,1000,0,1,time_limit
255,-36.49,1000,0,1,time_limit
256,-52.86,1000,0,1,time_limit
257,-42.06,1000,0,1,time_limit
258,-41.16,1000,0,1,time_limit
259,-154.13,1000,0,1,time_limit
260,-6.57,1000,0,1,time_limit
261,-179.29,781,1,0,out_of_bounds
262,-40.91,88,1,0,crashed
263,-15.79,73,1,0,crashed
264,49.66,1000,0,1,time_limit
265,21.21,1000,0,1,time_limit
266,-38.39,1000,0,1,time_limit
267,-11.32,1000,0,1,time_limit
268,-14.40,1000,0,1,time_limit
269,-74.75,1000,0,1,time_limit
270,-16.96,1000,0,1,time_limit
271,-5.84,1000,0,1,time_limit
272,-21.85,1000,0,1,time_limit
273,-7.26,1000,0,1,time_limit
274,-19.73,1000,0,1,time_limit
275,-37.41,1000,0,1,time_limit
276,-2.24,1000,0,1,time_limit
277,-47.36,1000,0,1,time_limit
278,-37.82,1000,0,1,time_limit
279,-35.04,1000,0,1,time_limit
280,2.24,1000,0,1,time_limit
281,-18.68,1000,0,1,time_limit
282,-33.47,1000,0,1,time_limit
283,-15.42,1000,0,1,time_limit
284,4.38,1000,0,1,time_limit
285,55.55,1000,0,1,time_limit
286,-7.04,1000,0,1,time_limit
287,-58.53,122,1,0,crashed
288,-50.28,1000,0,1,time_limit
289,-16.72,1000,0,1,time_limit
290,-300.58,128,1,0,out_of_bounds
291,35.37,1000,0,1,time_limit
292,-14.52,1000,0,1,time_limit
293,19.64,1000,0,1,time_limit
294,-1.58,1000,0,1,time_limit
295,50.68,1000,0,1,time_limit
296,28.58,102,1,0,crashed
297,108.27,1000,0,1,time_limit
298,39.01,1000,0,1,time_limit
299,-15.73,1000,0,1,time_limit
300,51.83,1000,0,1,time_limit
301,-133.21,121,1,0,out_of_bounds
302,-16.32,1000,0,1,time_limit
303,-205.81,142,1,0,crashed
304,17.96,1000,0,1,time_limit
305,-85.39,86,1,0,crashed
306,40.96,1000,0,1,time_limit
307,13.96,1000,0,1,time_limit
308,-78.07,1000,0,1,time_limit
309,-78.46,1000,0,1,time_limit
310,45.67,1000,0,1,time_limit
311,10.14,1000,0,1,time_limit
312,40.85,1000,0,1,time_limit
313,-38.71,1000,0,1,time_limit
314,-32.32,166,1,0,crashed
315,-135.98,151,1,0,crashed
316,-40.06,196,1,0,crashed
317,-43.48,178,1,0,crashed
318,-56.08,145,1,0,crashed
319,-45.35,1000,0,1,time_limit
320,102.27,1000,0,1,time_limit
321,-85.23,169,1,0,out_of_bounds
322,33.22,1000,0,1,time_limit
323,41.94,1000,0,1,time_limit
324,-1.05,1000,0,1,time_limit
325,37.87,1000,0,1,time_limit
326,-29.94,1000,0,1,time_limit
327,63.80,1000,0,1,time_limit
328,31.87,1000,0,1,time_limit
329,-73.80,143,1,0,crashed
330,257.18,815,1,0,landed_success
331,189.36,957,1,0,landed_success
332,-174.64,160,1,0,crashed
333,177.81,633,1,0,landed_success
334,189.23,821,1,0,landed_success
335,-26.72,1000,0,1,time_limit
336,-128.44,129,1,0,crashed
337,93.45,1000,0,1,time_limit
338,203.51,749,1,0,landed_success
339,11.30,1000,0,1,time_limit
340,-85.22,144,1,0,out_of_bounds
341,26.02,1000,0,1,time_limit
342,112.89,1000,0,1,time_limit
343,102.72,1000,0,1,time_limit
344,168.48,954,1,0,landed_success
345,207.64,643,1,0,landed_success
346,230.68,435,1,0,landed_success
347,51.03,1000,0,1,time_limit
348,179.18,954,1,0,landed_success
349,-206.26,128,1,0,crashed
350,199.52,345,1,0,landed_success
351,208.27,545,1,0,landed_success
352,21.07,1000,0,1,time_limit
353,214.63,519,1,0,landed_success
354,-50.01,337,1,0,out_of_bounds
355,186.51,900,1,0,landed_success
356,-13.82,1000,0,1,time_limit
357,-105.02,137,1,0,crashed
358,225.11,1000,1,1,time_limit
359,183.28,822,1,0,landed_success
360,224.78,571,1,0,landed_success
361,175.06,860,1,0,landed_success
362,206.64,715,1,0,landed_success
363,220.81,487,1,0,landed_success
364,-1.91,195,1,0,crashed
365,255.05,427,1,0,landed_success
366,173.78,458,1,0,landed_success
367,-45.21,1000,0,1,time_limit
368,154.31,1000,0,1,time_limit
369,112.99,1000,0,1,time_limit
370,-50.21,1000,0,1,time_limit
371,-34.46,127,1,0,crashed
372,-243.35,76,1,0,crashed
373,118.70,849,1,0,landed_success
374,262.77,396,1,0,landed_success
375,227.26,303,1,0,landed_success
376,232.03,490,1,0,landed_success
377,-34.21,1000,0,1,time_limit
378,122.18,1000,0,1,time_limit
379,308.64,256,1,0,landed_success
380,241.73,380,1,0,landed_success
381,-43.76,1000,0,1,time_limit
382,-78.05,1000,0,1,time_limit
383,-207.53,354,1,0,out_of_bounds
384,-49.76,1000,0,1,time_limit
385,248.50,267,1,0,landed_success
386,-144.56,921,1,0,crashed
387,201.76,416,1,0,landed_success
388,-25.24,1000,0,1,time_limit
389,114.15,796,1,0,landed_success
390,25.11,1000,0,1,time_limit
391,169.55,722,1,0,landed_success
392,204.10,423,1,0,landed_success
393,-11.21,98,1,0,crashed
394,-17.43,1000,0,1,time_limit
395,108.23,1000,0,1,time_limit
396,-39.34,1000,0,1,time_limit
397,-39.78,1000,0,1,time_limit
398,227.55,453,1,0,landed_success
399,206.32,344,1,0,landed_success
400,213.52,666,1,0,landed_success
401,225.37,681,1,0,landed_success
402,261.39,570,1,0,landed_success
403,-311.91,330,1,0,crashed
404,-28.23,475,1,0,crashed
405,226.60,438,1,0,landed_success
406,49.00,153,1,0,crashed
407,-60.59,1000,0,1,time_limit
408,171.65,973,1,0,landed_success
409,-71.55,1000,0,1,time_limit
410,6.24,165,1,0,crashed
411,227.07,528,1,0,landed_success
412,234.49,437,1,0,landed_success
413,-78.72,1000,0,1,time_limit
414,-43.66,1000,0,1,time_limit
415,216.16,553,1,0,landed_success
416,220.58,371,1,0,landed_success
417,185.19,524,1,0,landed_success
418,-257.59,463,1,0,crashed
419,196.46,581,1,0,landed_success
420,253.55,360,1,0,landed_success
421,185.39,729,1,0,landed_success
422,145.88,788,1,0,landed_success
423,12.16,142,1,0,crashed
424,-11.73,330,1,0,crashed
425,201.98,776,1,0,landed_success
426,-44.66,1000,0,1,time_limit
427,254.06,320,1,0,landed_success
428,229.81,278,1,0,landed_success
429,-47.69,144,1,0,crashed
430,163.67,803,1,0,landed_success
431,-44.54,1000,0,1,time_limit
432,-24.03,75,1,0,crashed
433,-38.65,1000,0,1,time_limit
434,224.94,467,1,0,landed_success
435,221.06,351,1,0,landed_success
436,-57.66,1000,0,1,time_limit
437,136.25,999,1,0,landed_success
438,105.91,817,1,0,landed_success
439,161.39,442,1,0,landed_success
440,202.89,359,1,0,landed_success
441,107.79,996,1,0,landed_success
442,189.16,516,1,0,landed_success
443,93.16,695,1,0,landed_success
444,223.77,463,1,0,landed_success
445,158.98,638,1,0,landed_success
446,-34.74,1000,0,1,time_limit
447,252.16,376,1,0,landed_success
448,-39.00,556,1,0,crashed
449,182.05,685,1,0,landed_success
450,-52.21,160,1,0,crashed
451,248.09,477,1,0,landed_success
452,254.70,563,1,0,landed_success
453,-41.18,328,1,0,crashed
454,167.66,550,1,0,landed_success
455,190.08,369,1,0,landed_success
456,51.70,1000,0,1,time_limit
457,223.61,637,1,0,landed_success
458,128.78,937,1,0,landed_success
459,-26.10,1000,0,1,time_limit
460,239.21,546,1,0,landed_success
461,133.24,810,1,0,landed_success
462,221.89,301,1,0,landed_success
463,-51.88,297,1,0,crashed
464,231.14,281,1,0,landed_success
465,230.16,605,1,0,landed_success
466,210.22,709,1,0,landed_success
467,236.84,526,1,0,landed_success
468,97.93,921,1,0,landed_success
469,255.73,340,1,0,landed_success
470,162.06,886,1,0,landed_success
471,1.83,1000,0,1,time_limit
472,160.76,646,1,0,landed_success
473,191.03,692,1,0,landed_success
474,245.05,295,1,0,landed_success
475,100.79,1000,0,1,time_limit
476,256.94,651,1,0,landed_success
477,-5.31,1000,0,1,time_limit
478,245.21,636,1,0,landed_success
479,231.59,388,1,0,landed_success
480,232.54,434,1,0,landed_success
481,-23.02,1000,0,1,time_limit
482,293.14,189,1,0,landed_success
483,198.42,569,1,0,landed_success
484,233.47,312,1,0,landed_success
485,202.34,518,1,0,landed_success
486,284.49,735,1,0,landed_success
487,-72.86,203,1,0,out_of_bounds
488,205.01,495,1,0,landed_success
489,220.99,642,1,0,landed_success
490,226.81,450,1,0,landed_success
491,218.13,648,1,0,landed_success
492,257.98,304,1,0,landed_success
493,198.46,707,1,0,landed_success
494,229.11,362,1,0,landed_success
495,84.99,1000,0,1,time_limit
496,313.14,364,1,0,landed_success
497,-72.41,1000,0,1,time_limit
498,276.95,291,1,0,landed_success
499,40.58,191,1,0,crashed
500,-147.61,159,1,0,out_of_bounds
501,-78.25,778,1,0,crashed
502,233.61,383,1,0,landed_success
503,239.21,394,1,0,landed_success
504,224.23,314,1,0,landed_success
505,189.62,783,1,0,landed_success
506,35.76,146,1,0,crashed
507,-167.83,103,1,0,out_of_bounds
508,210.34,446,1,0,landed_success
509,178.46,793,1,0,landed_success
510,50.45,1000,0,1,time_limit
511,231.15,395,1,0,landed_success
512,-1.58,114,1,0,crashed
513,244.41,458,1,0,landed_success
514,273.46,265,1,0,landed_success
515,224.16,361,1,0,landed_success
516,230.90,385,1,0,landed_success
517,128.28,838,1,0,landed_success
518,211.04,422,1,0,landed_success
519,68.58,1000,0,1,time_limit
520,195.42,311,1,0,landed_success
521,231.93,389,1,0,landed_success
522,227.52,408,1,0,landed_success
523,242.53,472,1,0,landed_success
524,246.07,265,1,0,landed_success
525,271.73,380,1,0,landed_success
526,182.19,435,1,0,landed_success
527,236.53,287,1,0,landed_success
528,249.44,292,1,0,landed_success
529,301.40,168,1,0,landed_success
530,27.05,178,1,0,crashed
531,173.00,509,1,0,landed_success
532,233.87,411,1,0,landed_success
533,253.55,262,1,0,landed_success
534,256.94,266,1,0,landed_success
535,194.32,672,1,0,landed_success
536,236.91,474,1,0,landed_success
537,260.36,401,1,0,landed_success
538,265.98,274,1,0,landed_success
539,235.26,292,1,0,landed_success
540,250.66,254,1,0,landed_success
541,290.80,602,1,0,landed_success
542,76.19,1000,0,1,time_limit
543,244.07,334,1,0,landed_success
544,5.23,182,1,0,crashed
545,104.27,1000,0,1,time_limit
546,246.93,325,1,0,landed_success
547,243.29,264,1,0,landed_success
548,235.64,281,1,0,landed_success
549,248.47,286,1,0,landed_success
550,218.15,387,1,0,landed_success
551,231.22,354,1,0,landed_success
552,-91.28,970,1,0,crashed
553,238.34,634,1,0,landed_success
554,261.59,290,1,0,landed_success
555,266.93,253,1,0,landed_success
556,213.07,315,1,0,landed_success
557,266.35,354,1,0,landed_success
558,264.16,323,1,0,landed_success
559,228.81,259,1,0,landed_success
560,264.19,402,1,0,landed_success
561,218.45,386,1,0,landed_success
562,293.49,234,1,0,landed_success
563,264.41,258,1,0,landed_success
564,125.92,1000,0,1,time_limit
565,275.49,230,1,0,landed_success
566,-45.41,149,1,0,crashed
567,242.83,245,1,0,landed_success
568,184.81,495,1,0,landed_success
569,244.42,301,1,0,landed_success
570,251.44,253,1,0,landed_success
571,-182.70,69,1,0,crashed
572,-117.31,171,1,0,crashed
573,83.81,156,1,0,crashed
574,221.73,668,1,0,landed_success
575,193.47,643,1,0,landed_success
576,243.72,340,1,0,landed_success
577,138.68,1000,0,1,time_limit
578,-132.82,193,1,0,crashed
579,169.01,288,1,0,landed_success
580,251.76,360,1,0,landed_success
581,38.82,182,1,0,crashed
582,242.91,278,1,0,landed_success
583,290.27,228,1,0,landed_success
584,242.35,238,1,0,landed_success
585,-238.32,298,1,0,crashed
